name,about,site_operating_hours,suggested_trip_duration,rating,review_count,entrance_fee,address
Metropolitan Museum of Art,"In addition to the numerous touring exhibits throughout the year, two of the anchors in this museum are the priceless Gold Gallery and the ancient Pottery Gallery, with pieces dating back to 220 BC.",,,4.0,97,6444.766000000001,"<div class=""biGQs _P pZUbB KxBGd""></div>"
168 Shopping Mall,,,,4.0,148,6444.766000000001,
Cultural Center of the Philippines,,,,4.0,136,9228.467333333334,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Presidential Museum and Library,"The Presidential Museum and Library is the primary office within the Office of the President responsible for preserving, managing, and promoting the history and heritage of the Philippine Presidency, and particularly of Malacanan Palace as its official seat. It is the principal historical and artistic repository in support of the institution of the Presidency and for the benefit of the Republic and the Filipino people. It exercises primary curatorial, conservation, preservation, custodial, and advisory responsibilities over structures, and facilitates the conduct of tours of designated areas within the Palace. It was created in 2004 with the implementation of Executive Order No. 366, Issued by President Gloria Macapagal-Arroyo, which merged the Presidential Museum and the Malacanang Library into one office as the Malacanang Museum. The collections of both offices were integrated and housed in Kalayaan Hall, while others were placed in off-site storage facilities.In 2010, Executive Order No. 880 Was issued, placing the Malacanang Museum under the supervision of the National Museum for museological and related policy purposes. Later on, Executive Order No. 4, Promulgated by President Benigno S. Aquino III, placed the Malacanang Museum under the supervision and control of the Presidential Communications Development and Strategic Planning Office. The issuance likewise renamed the Malacanang Museum as the Presidential Museum and Library.",,,4.5,74,7471.347999999999,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Legarda • 10 min walk</div>"
National Museum Of Anthropology,,10:00 AM - 5:00 PM,1-2 hours,4.5,66,6444.766000000001,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Memorare Manila Monument,,,,4.0,114,5698.782666666666,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Central Terminal - Ermita • 10 min walk</div>"
Filipino Travel Center,,,,4.5,114,,
Binondo Church,The altar's replica of St. Peter's dome impresses visitors to this historic church.,,,4.0,201,3785.585,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Carriedo - Quiapo • 10 min walk</div>"
National Museum of Natural History,,,,4.5,86,6444.766000000001,"Teodoro F. Valencia Circle, Manila, Luzon 1000 Philippines"
Manila Ocean Park,"From a spectacular marine themed park, Manila Ocean Park has finally evolved into Metro's Holiday Destination where everything is all about Life and Living.An array of exciting attractions, enticing view of the bay, enriching marine life exhibits, entertaining dining and lifestyle shapes to mold into an integrated resort destination. Manila Ocean Park is proud to have a marine-themed park in the country that houses Life of the best of both under and over the sea!",9:00 AM - 8:00 PM,More than 3 hours,3.5,2235,6444.766000000001,"<div class=""biGQs _P pZUbB KxBGd""></div>"
San Sebastian Church,,,1-2 hours,4.0,143,371.89,"Pasaje del Carmen Street Quiapo, Manila, Luzon 1004 Philippines"
Tourist Driver Manila,,,,5.0,45,,
SM City Manila,,,,4.0,137,6579.272666666667,"<div class=""biGQs _P pZUbB KxBGd""></div>"
168 Shopping Mall,,,,4.0,148,6583.133999999999,
Silahis Arts & Artifacts,"Welcome to Silahis Center! Your best museum ambience store taking you around the Philippine archipelago through arts and crafts. Since 1966 Silahis has been dedicated to developing a deeper understanding of the multi cultural heritage of the Philippines and its people through a greater appreciation of their culture and crafts. Now in a museum atmosphere with five departments these traditional artifacts and cultural crafts are synthesized with contemporary crafts and accessories expressing our eclectic Philippine lifestyle. SILAHIS ARTS AND ARTIFACTS- Ground Floor -showing artifacts and crafts as well as folk art from all the peoples of the archipelago. CHANGRONG ANTIQUE GALLERY-Second Floor -reflecting the greatest external influence on Philippine culture and our long trading relationship with the Asian mainland; excavated porcelain, old maps, textiles, and primitive art. TRADEWINDS BOOKS - Second Floor -because we want to see ourselves among our neighbors; specializing in old and new publications on Asia, The Philippines and The Pacific, Art, culture, history, literature, travel. GALERIA DE LAS ISLAS -Showing fine arts, original prints and sculpture KAYAMANANG ASYA, INK. -Bringing to the public the very best of the Philippine art, antiques and collectibles.",10:00 AM - 7:00 PM,,4.5,86,6737.606000000001,"744 Gen. Luna Street Intramuros, Manila, Luzon 1002 Philippines"
Binondo,"The ""Chinatown"" of Manila, the Binondo area offers everything from Buddhist temples to pawn shops and Chinese restaurants.",,1-2 hours,4.0,183,6643.7775,"<div class=""biGQs _P pZUbB KxBGd""></div>"
National Museum Of Anthropology,,10:00 AM - 5:00 PM,1-2 hours,4.5,66,6254.881333333334,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Memorare Manila Monument,,,,4.0,114,5698.782666666666,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Central Terminal - Ermita • 10 min walk</div>"
Chinese Cemetery,,,,4.0,144,8060.349999999999,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">V.Mapa • 1 min walk</div>"
Museum of the Filipino People,,10:00 AM - 5:00 PM,,4.0,74,6293.499333333332,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Metropolitan Museum of Art,"In addition to the numerous touring exhibits throughout the year, two of the anchors in this museum are the priceless Gold Gallery and the ancient Pottery Gallery, with pieces dating back to 220 BC.",,,4.0,97,7606.510666666666,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Shangri-La Plaza,,,,4.5,87,6440.247333333334,"Corner EDSA and Shaw Boulevard Madaluyong City, Manila, Luzon 1552 Philippines"
Cultural Center of the Philippines,,,,4.0,136,9228.467333333334,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Presidential Museum and Library,"The Presidential Museum and Library is the primary office within the Office of the President responsible for preserving, managing, and promoting the history and heritage of the Philippine Presidency, and particularly of Malacanan Palace as its official seat. It is the principal historical and artistic repository in support of the institution of the Presidency and for the benefit of the Republic and the Filipino people. It exercises primary curatorial, conservation, preservation, custodial, and advisory responsibilities over structures, and facilitates the conduct of tours of designated areas within the Palace. It was created in 2004 with the implementation of Executive Order No. 366, Issued by President Gloria Macapagal-Arroyo, which merged the Presidential Museum and the Malacanang Library into one office as the Malacanang Museum. The collections of both offices were integrated and housed in Kalayaan Hall, while others were placed in off-site storage facilities.In 2010, Executive Order No. 880 Was issued, placing the Malacanang Museum under the supervision of the National Museum for museological and related policy purposes. Later on, Executive Order No. 4, Promulgated by President Benigno S. Aquino III, placed the Malacanang Museum under the supervision and control of the Presidential Communications Development and Strategic Planning Office. The issuance likewise renamed the Malacanang Museum as the Presidential Museum and Library.",,,4.5,74,7471.347999999999,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Legarda • 10 min walk</div>"
Bahay Tsinoy,,1:00 PM - 5:00 PM,,4.0,82,6969.313999999999,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Central Terminal - Ermita • 10 min walk</div>"
"Blue Horizons Travel and Tours, Inc",,,,4.5,26,,
Chinatown,,,,3.5,426,6155.401333333333,
Tanlines Philippines,,,,4.5,52,5501.2119999999995,
Baluarte de San Diego,,8:00 AM - 5:00 PM,,4.0,59,5589.377333333333,"368 Sta. Lucia Intramuros, Manila, Luzon 1000 Philippines"
White Knight Electric Chariot Day Tours,,8:00 AM - 6:00 PM,,4.5,90,,
Museo Pambata,This children's museum has lots of interactive exhibits.,9:00 AM - 5:00 PM,1-2 hours,4.0,97,6444.766000000001,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Rizal Monument,,,< 1 hour,4.0,37,6444.766000000001,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Club Intramuros Golf Course,,,,4.0,65,6444.766000000001,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Santa Cruz Church,,,,4.0,75,,"Plaza Santa Cruz, Manila, Luzon 2004 Philippines"
"Intramuros & Rizal, Bagumbayan Light & Sound Museum",,,,4.0,56,6444.766000000001,
Trail Adventours,,,,4.5,22,8065.410000000001,
Manila Central Post Office,,,,3.5,39,6444.766000000001,"Liwasang Bonifacio Street, Manila, Luzon 1000 Philippines"
Bahay Nakpil,,9:00 AM - 5:00 PM,,4.5,7,6444.766000000001,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Vito Cruz • 6 min walk</div>"
Father Blanco's Garden,,,,4.0,10,8147.163333333334,
San Diego Gardens,,,,4.0,12,6444.766000000001,
Philippine Presidents' Gallery,,,,3.5,30,6444.766000000001,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Japanese Garden,,,,3.0,39,6444.766000000001,"Maria Orosa Street corner Padre Burgos Street, Manila, Luzon 2004 Philippines"
San Miguel Church,,,,4.0,9,,"1000 J . P. Laurel St. Corner Gen. Solano St., Manila, Luzon 2004 Philippines"
Casino Filipino Hyatt Manila,,,,3.5,24,5888.010000000001,"1588 Pedro Gil cor MH del Pilar Malate, Manila, Luzon 1004 Philippines"
Centennial Clock,,,,3.5,27,6177.645333333333,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Our Lady of Montserrat Abbey,,,,5.0,6,,
Arroceros Forest Park,,,,3.5,8,7954.072666666666,
Remedios Circle,,,,3.0,49,6428.662666666667,"Remedios Circle, Manila, Luzon 2004 Philippines"
Enterprise Center,,,,3.5,23,6586.996000000001,"Ayala Avenue corner Paseo de Roxas Makati City, Manila, Luzon 6766 Philippines"
St Vincent de Paul Parish Church,,6:00 AM - 8:00 PM,1-2 hours,5.0,6,7714.641333333334,"959 San Marcelino Street, Manila, Luzon 1000 Philippines"
Plaza de Santa Isabel,,,< 1 hour,4.0,12,6814.842000000001,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Quiapo Market,,,,4.0,6,6671.956,"313, 1001 Palma St, Quiapo, Manila, Luzon 1001 Philippines"
Baluartillo de San Jose,,,,4.0,12,7054.273333333332,
Ever Gotesco Mall,"As early as the 70’s, Ever Gotesco initiated the “one-stop shopping” building along the university belt at CM Recto Avenue. It houses the Gotesco Cinemas, Ever Department Store and Supermarket and various fashion and food outlets. Ever Gotesco pioneered a lot of things in the retail arena. Ever Gotesco was the first one to lump it all together in a one-stop shopping center style.The success of this concept led to the rise of four branches of Ever Gotesco Malls located at Caloocan, Commonwealth, Recto and Ortigas Extension. As a prime mover in the retail industry, focusing on the special needs of the family as a social unit, Ever continually strives to give its clientele an optimum product mix-ensuring maximum customer satisfaction. EVER GOTESCO MALLS Nestled within four of the country’s busiest business districts, Ever Gotesco Malls have always been a landmark of tradition. With millions of shoppers to cater to, a million different tastes to consider, Ever Gotesco Malls knows about giving the public what they need.Being situated in strategic locations, Ever Gotesco Malls is the anchor establishment of its famous Ever Department Stores, Ever Supermarkets and home to leading retail stores. It has traditionally upheld serving the public to its fullest extent, aggressively facing the most demanding trends in shopping and malling. It is constantly on the lookout for fresh ideas to incorporate in their marketing strategies, unwilling to find itself behind the competition but always in the middle of it all.Ever recognizes and values that the core of its shoppers are family units, hence, Ever has positioned itself to be of greatest service to them. As a prime mover of the retail industry focusing on the special needs of the family as a social unit, Ever today can truly be called the home of Great Family Shopping.",,,3.0,17,7181.713333333333,
Pasig River Ferry Service,,,< 1 hour,4.0,6,6563.825333333331,
De La Salle University,,,< 1 hour,4.5,8,7405.040666666666,"2401 Taft Avenue, Manila, Luzon 1004 Philippines"
Seri Fantasy World,,,,4.0,6,7722.3646666666655,"Floor 2nd Manila Ocean Park Behind Quirino Grandstand, Manila, Luzon 1000 Philippines"
Our Lady of Remedies Church,,,,4.5,10,,"<div class=""biGQs _P pZUbB KxBGd""></div>"
National Shrine of Saint Jude Thaddeus,,,,4.5,4,7941.830666666665,"Dr. Jose P. Laurel Sr. Street San Miguel, Manila, Luzon 1005 Philippines"
San Andres Market,,,< 1 hour,3.5,10,7340.047333333333,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Fo Guang Shan Mabuhay Temple,"Buddhist Organization Founded by Ven. Master Hsiung Yun, Humanistic Buddhism Fo Guang Shan Philippines preached the Buddhist teachings",,,4.0,8,8514.034000000001,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Vito Cruz • 6 min walk</div>"
Reducto De San Pedro,,,,4.0,11,7208.089,
Relief Map of the Philippine Islands,,,< 1 hour,3.5,15,6444.766000000001,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Tayuman • 3 min walk</div>"
Bonsai Library and Museum,,,,4.5,4,6810.980666666666,
Seng Guan Temple,,,,5.0,2,6915.249333333332,"Narra Street Tondo, Manila, Luzon 1012 Philippines"
Aduana,,,,3.5,20,7587.202,
Plaza Espana,,,,3.5,15,6444.766000000001,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Central Terminal - Ermita • 6 min walk</div>"
Rizal Memorial Sports Complex,,,,3.5,10,,"Adriatico Street Malate, Manila, Luzon 1004 Philippines"
Our Lady of Guidance,,6:00 AM - 9:00 PM,1-2 hours,4.5,5,6444.766000000001,
Pasig River,,,,2.5,82,6447.705806451614,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Central Terminal - Ermita • 8 min walk</div>"
Ultra Philippines Sport Complex,,,,4.5,4,6698.9879999999985,
Almacenes Curtain Wall,,,,4.0,6,6698.988,
Fort San Antonio Abad,,,< 1 hour,4.0,5,7081.306,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Pistang Pilipino,,,,5.0,1,6139.027333333333,
Chinatown Museum,"The Chinatown Museum is a community space that aims to share a visual story of Binondo as one of the oldest Chinatowns in the whole world. Each gallery focuses on various influences that have shaped the cultural, social, and economic threads that have formed Binondo, as we know of it today.",11:00 AM - 6:00 PM,1-2 hours,4.5,2,6950.004666666665,"Reina Regente Street 4/F Building A, Lucky Chinatown, Manila, Luzon 1006 Philippines"
Saint Andrew's Cathedral,,,< 1 hour,4.5,4,6444.766000000001,"448 Quirino Avenue Parañaque, 1700 Metro Manila, Manila, Luzon 1007 Philippines"
Fountain at Okada,,,,4.0,3,7278.258000000001,
Sto. Nino de Tondo Church,,,< 1 hour,3.5,4,7610.372666666667,"Chacon St., Tondo Plaza Leon, Manila, Luzon 1000 Philippines"
Divisoria Mall,,,,3.5,3,6444.766000000001,"540 Commercio, Manila, Luzon 1010 Philippines"
Statue of the Sentinel of Freedom,,,,4.0,2,6023.173333333333,"Teodoro F. Valencia Circle, Manila, Luzon 1000 Philippines"
1335Mabini,,,2-3 hours,4.5,2,6235.571999999999,"1335 A. Mabini St., Ermita, Manila, Philippines, Manila, Luzon 1231 Philippines"
Bonifacio and the Katipunan Revolution Monument,,,< 1 hour,4.5,3,6370.735333333333,
Quinta Market,,,,4.0,2,6444.766000000001,"Carlos Palanca, Quiapo, Manila, Luzon 1011 Philippines"
National Shrine of Saint Michael and the Archangels,,,,4.5,2,6444.766000000001,"1000 Gen. Solano Street San Miguel, Manila, Luzon 1005 Philippines"
UN Square Mall,,,,3.5,2,6444.766000000001,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Central United Methodist Church,,,,3.5,3,6444.766000000001,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Minor Basilica of the Black Nazarene,,,,4.5,2,6444.766000000001,"Quiapo 363 Quezon Boulevard, Manila, Luzon 1001 Philippines"
Everest Hills Memorial Park,,,,3.0,4,,
E.C.J Building,,,,3.0,3,6444.766000000001,
Aduana Building,,,< 1 hour,5.0,1,6444.766000000001,
Hiraya Gallery,,,,4.0,1,5945.937333333333,"530 United Nations Avenue, Manila, Luzon 1000 Philippines"
Far Eastern University,,,,3.0,2,6409.353333333333,"Nicanor Reyes Street, Manila, Luzon 1008 Philippines"
Temple Of Taoism,,,,4.0,1,7533.137333333333,"Bgy 696, Zone 076 Malate, M 1818 Vasquez Street, Barangay 697, Manila, Luzon 1004 Philippines"
The Temple Of Heaven,,,,4.0,1,6941.624666666667,"Malate, Manila 1004 Fidel A. Reyes Street, Manila, Luzon 1004 Philippines"
Lord Justo Ukon Takayama Monument,,,< 1 hour,3.5,3,7208.089,
Quirino Grandstand,,12:00 AM - 11:59 PM,< 1 hour,4.0,1,6698.988,
Kim Luan Temple,,,,4.0,1,7934.764,"Malate, Manila, 1004 Metro Manila Adriatico Street, Manila, Luzon 1004 Philippines"
Knox United Methodist Church,,,,4.0,1,6698.988,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Doroteo Jose • 2 min walk</div>"
Plaza San Lorenzo Ruiz,,,,3.0,4,6698.988,"Quintin Paredes Road Binondo, Manila, Luzon 1006 Philippines"
Dolomite Beach,,,,3.0,1,7432.73,"Roxas Boulevard Malate (entrance and exit  is located near the US Embassy), Manila, Luzon 1004 Philippines"
Espirito Santo Parish,,,,4.0,1,6698.988,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Tayuman • 1 min walk</div>"
Lagusnilad Underpass,,,,4.0,1,8853.215333333332,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Kiu Siao Temple,,,,4.0,1,6698.988,"330 Severino Reyes Cor Lope De Vega Sts, Sta Cruz Sta Cruz Manila. Near Another Chinese Temple In The Same Street., Manila, Luzon 1008 Philippines"
Antonio Luna Birthplace Historical Marker,,,,4.0,1,6370.735333333333,"441 Urbiztondo Street, Manila, Luzon 1010 Philippines"
St. Anthony de Padua Shrine,,,,3.0,1,6521.345333333333,"254 Manrique Sampaloc, Manila, Luzon 1008 Philippines"
Hong Bon Bridge,,12:00 AM - 11:59 PM,,3.0,1,5833.945333333333,"Alvarado Between Alvarado St And Victoria St. Binondo, Manila, Luzon 1006 Philippines"
St. Paul University Manila,,,,2.5,2,6444.766000000001,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Plaza Miranda,,,,3.0,1,6444.766000000001,"FR Hidalgo Street, Manila, Luzon 1001 Philippines"
Japanese Gun In Cemetery,,,,4.0,1,7208.089,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">R. Papa - Tondo, Manila • 6 min walk</div>"
San Nicolas Fire Station,,12:00 AM - 11:59 PM,,4.0,1,6698.988,"San Nicolas, Manila, Metro Manila Madrid Across A Gas Station., Manila, Luzon 1013 Philippines"
Old La Loma Catholic Cemetery Chapel,,,,4.0,1,6444.766000000001,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">R. Papa - Tondo, Manila • 7 min walk</div>"
Hong Giam Temple,,,,4.0,1,6444.766000000001,"Paco, Manila, 1007 Metro Manila 1341 Perez Street, Barangay 674, Manila, Luzon 1007 Philippines"
First United Building,,,,4.0,1,6444.766000000001,"First United Building, Manila, Luzon 1006 Philippines"
Club Intramuros Golf Course,,,,4.0,65,7297.567333333333,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Yolo Travel Philippines,,,,5.0,711,,
Liwasang Bonifacio (bonifacio's Park),,,,3.0,1,7208.089,"Liwasang Bonifacio, Manila, Luzon 1000 Philippines"
Soc Yan Temple,,,,4.0,1,6444.766000000001,"1404 Guerrero St Tondo, 248 Zone 22, Manila, 1012, Manila, Luzon 1012 Philippines"
Taoist Shrine (veronica St),,,,3.0,1,6444.766000000001,"Veronica Street Binondo Cor Yuchengco St., Going To Hong Bon Bridge., Manila, Luzon 1006 Philippines"
M Bay Health Spa,"M-Bay Health Spa traces its roots to the Holiday Inn Hotel (Trader’s Hotel) where Shiatsu Massage Therapy was first introduced. In 1977, the late Roberto S. Benedicto, who was at that time the Philippines’ Ambassador to Japan, brought with him, upon his return, two of the best Japanese Shiatsu trainers, Noriko San and Matsuda San, who were both commissioned to teach local masseuses the Shiatsu way. It was at the Holiday Inn Hotel that the successful trainees first practiced the original Shiatsu massage. Holiday Inn Hotel (Trader’s Hotel), located along Roxas Boulevard, was then owned by Mr. Roberto S. Benedicto himself. In 1989, the Shiatsu massage practitioners group moved to a new location, the Manila Bay Health and Fitness Center, also located along Roxas Boulevard. One of these practitioners, Ms. Gloria Felipe, is currently the Master Therapist at the M-Bay Health Spa. After years of successful operation, the group finally transferred to the current location, Quirino Avenue in Malate, Manila, in 1993. Today, under a new management, and carrying a new name, the M-Bay Health Spa. M-Bay Health Spa specializes in the traditional authentic Shiatsu massage, in addition to a range of other pampering services, to address your therapeutic needs. At the M-Bay Health Spa, tradition blends with modernity in its top-notch facilities. We strive to make each visit worth your while.",,,4.0,46,6444.766000000001,"778 Pres. Quirino Avenue Malate, Manila, Luzon 1004 Philippines"
Doña Teodora Alonzo Death Place Historical Marker,,,,3.0,1,6444.766000000001,"472 San Fernando Street, Manila, Luzon 1010 Philippines"
2GO Travel,,,,2.5,6,10737.117333333332,
Won Tong Temple,,,,3.0,1,7208.089,"Santa Cruz, Manila, 1008 M 1020 Severino Reyes Street, Barangay 330 Close By Another Chinese Temple, Manila, Luzon 1003 Philippines"
The Martyrdom Of Dr. José P. Rizal,,12:00 AM - 11:59 PM,< 1 hour,3.0,1,6235.572666666666,"Roxas Boulevard Rizal Park, Manila, Luzon 1002 Philippines"
Carriedo Fountain,,12:00 AM - 11:59 PM,< 1 hour,3.0,1,7208.089,"Ronquillo Street Plaza Sta. Cruz, Manila, Luzon 1008 Philippines"
Silahis Arts & Artifacts,"Welcome to Silahis Center! Your best museum ambience store taking you around the Philippine archipelago through arts and crafts. Since 1966 Silahis has been dedicated to developing a deeper understanding of the multi cultural heritage of the Philippines and its people through a greater appreciation of their culture and crafts. Now in a museum atmosphere with five departments these traditional artifacts and cultural crafts are synthesized with contemporary crafts and accessories expressing our eclectic Philippine lifestyle. SILAHIS ARTS AND ARTIFACTS- Ground Floor -showing artifacts and crafts as well as folk art from all the peoples of the archipelago. CHANGRONG ANTIQUE GALLERY-Second Floor -reflecting the greatest external influence on Philippine culture and our long trading relationship with the Asian mainland; excavated porcelain, old maps, textiles, and primitive art. TRADEWINDS BOOKS - Second Floor -because we want to see ourselves among our neighbors; specializing in old and new publications on Asia, The Philippines and The Pacific, Art, culture, history, literature, travel. GALERIA DE LAS ISLAS -Showing fine arts, original prints and sculpture KAYAMANANG ASYA, INK. -Bringing to the public the very best of the Philippine art, antiques and collectibles.",10:00 AM - 7:00 PM,,4.5,86,6737.606000000001,"744 Gen. Luna Street Intramuros, Manila, Luzon 1002 Philippines"
Vibes Massage,,,,5.0,16,6992.485333333333,
Hue House Massage,A Place To Love Yourself!!! Try to Lava Stone Massage and Aroma Theraphy. We are open 365days.,10:30 AM - 11:00 PM,2-3 hours,4.5,17,9846.355333333333,"556 Remedios Cir Malate, Manila, Luzon 1004 Philippines"
Bambike Ecotours Intramuros,,9:00 AM - 6:00 PM,,5.0,736,,
