url,name,number of reviews,address,rating,about,special diets,meals,cuisines,features,rating_Food,rating_Service,rating_Value,rating_Atmosphere,price range
/Restaurant_Review-g298451-d1784015-Reviews-Senju-Mandaluyong_Metro_Manila_Luzon.html,Senju,398,"1 Garden Way Edsa Shangri-La, Ortigas Center, Mandaluyong, Luzon 1550 Philippines",4.5,"Senju elegantly transforms the Japanese dining experience into an art form. Each plate is treated like a masterpiece, created with passion and limitless imagination. Calculated presentations create a striking balance between beauty and flavour. The chef’s artistry can truly be seen in foods such as sushi, maki, sashimi and robatayaki, as well as special kaiseki menus. The restaurant has a total seating capacity of 130 diners and features four private rooms. Smoking is not permitted.","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Japanese, Sushi, Asian","Takeout, Reservations, Private Dining, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",4.5,4.5,4.5,4.5,
/Restaurant_Review-g298574-d1728793-Reviews-Xin_Tian_Di-Quezon_City_Metro_Manila_Luzon.html,Xin Tian Di,939,"Fourth Floor Crowne Plaza Galleria. Ortigas Avenue, Quezon City, Luzon Philippines",5.0,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,"Chinese, Asian",,4.5,4.5,4.5,4.5,"₱1,971 - ₱2,253"
/Restaurant_Review-g298452-d10164845-Reviews-Brasserie_On_3-Pasay_Metro_Manila_Luzon.html,Brasserie On 3,1433,"Conrad Manila Seaside Boulevard Coral Way Mall of Asia Complex, Pasay, Luzon 1300 Philippines",5.0,"Brasserie on 3 is an all-day dining restaurant that delights guests with an extensive buffet selection for breakfast, lunch, and dinner as well as an diverse à la carte menu. Brasserie on 3 offers an innovative menu with an emphasis on the finest seasonal produce - with organic, locally and sustainably sourced ingredients taking center stage. The open kitchen and live cooking stations add to the vibrant atmosphere, and the restaurant features both indoor and outdoor terrace dining as well as two private dining rooms.","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Drinks","Filipino, Asian, Indian","Reservations, Private Dining, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Buffet, Wine and Beer, Digital Payments, Waterfront, Family style",4.5,4.5,4.5,,"₱1,850 - ₱3,250"
/Restaurant_Review-g312693-d6959701-Reviews-Fresh_International_Buffet-Paranaque_Metro_Manila_Luzon.html,Fresh International Buffet,2327,"1 Aseana Avenue Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701 Philippines",5.0,"Your ultimate buffet experience, redefined. The journey to taste the world's finest cuisines begins anew as we make your gourmet feast as safe and enjoyable as possible. All the things you miss about Fresh are back with your utmost safety in mind. Continue enjoying our savory rotisserie carvings and lavish seafood selections prepared and cooked a la minute by our team of talented chefs. Explore a whole new world of flavors with pre-portioned dishes made fresh every day for convenient grab-and-go dining.","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Drinks","Southwestern, Asian, International","Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service",4.5,4.5,4.5,4.5,
/Restaurant_Review-g1758900-d15580114-Reviews-The_Peak-Taguig_City_Metro_Manila_Luzon.html,The Peak,729,"8th Avenue corner 35th Street 60th - 62nd Floor, Taguig City, Luzon 1634 Philippines",5.0,"A beautiful collision of a grill restaurant, speakeasy, whisky bar, and a music lounge, The Peak will take you from dining, to drinks, to an exceptional experience of the high life.",Gluten Free Options,Dinner,"American, Steakhouse, Bar, Wine Bar, Grill","Reservations, Seating, Parking Available, Validated Parking, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",5.0,5.0,4.5,4.5,₱350 - ₱850
/Restaurant_Review-g312693-d12433358-Reviews-Goryeo-Paranaque_Metro_Manila_Luzon.html,Goryeo,237,"Okada Manila Seaside Drive Entertainment City, Paranaque, Luzon 1701 Philippines",5.0,,,Dinner,"Asian, Korean, Barbecue",,4.5,5.0,4.5,,"₱1,070 - ₱11,265"
/Restaurant_Review-g298574-d1853494-Reviews-Seven_Corners-Quezon_City_Metro_Manila_Luzon.html,Seven Corners,1227,"Corner Asian Development Bank and Ortigas Avenues Crowne Plaza Galleria Manila, Quezon City, Luzon 1100 Philippines",5.0,"Our international buffet features seven unique interactive stations that present a variety of international cuisines: Tandoori, Japanese, Western, Salad, Pizza Station, Dessert and Asian Noodle corners. Choose among dishes from U.S. farmed steaks to Tandoori chicken. Enjoy a la carte service and an extensive wine list. Buffet: Breakfast 6am-10:00am Lunch 11:30am-2:30pm Dinner 6pm-10:00pm","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Breakfast, Lunch, Dinner","Asian, International","Reservations, Buffet, Private Dining, Seating, Parking Available, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service",4.5,4.5,4.5,4.0,
/Restaurant_Review-g312693-d23920981-Reviews-Sportsbook_Bar-Paranaque_Metro_Manila_Luzon.html,Sportsbook Bar,88,"Seaside Drive Coral Wing, Okada Manila, Entertainment City, Paranaque, Luzon 1701 Philippines",5.0,,,"Dinner, Late Night, Drinks",International,,5.0,5.0,5.0,,"₱563 - ₱5,633"
/Restaurant_Review-g312693-d12461104-Reviews-Lobby_Lounge-Paranaque_Metro_Manila_Luzon.html,Lobby Lounge,264,"Okada Manila, New Seaside Drive, Entertainment City, Paranaque, Luzon 1701 Philippines",5.0,,Vegetarian Friendly,,International,,5.0,5.0,4.5,,"₱563 - ₱5,633"
/Restaurant_Review-g1758900-d15582471-Reviews-The_Lounge-Taguig_City_Metro_Manila_Luzon.html,The Lounge,262,"8th Avenue Corner 35th Street, Grand Hyatt Manila, Taguig City, Luzon 1634 Philippines",5.0,,"Vegetarian Friendly, Vegan Options",,"Cafe, Wine Bar, Filipino, Pub",,5.0,5.0,5.0,,₱150 - ₱400
/Restaurant_Review-g1758900-d9993670-Reviews-High_Street_Cafe-Taguig_City_Metro_Manila_Luzon.html,High Street Cafe,1812,"30th Street Corner 5th Avenue 2nd Floor, Shangri-La The Fort, Manila, Bonifacio Global City, Taguig City, Luzon 1634 Philippines",5.0,Nine culinary neighborhoods; one High Street.,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch",Asian,"Reservations, Private Dining, Seating, Parking Available, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service",4.5,4.5,4.5,5.0,
/Restaurant_Review-g298452-d17146363-Reviews-S_Kitchen_Sheraton_Manila-Pasay_Metro_Manila_Luzon.html,S Kitchen - Sheraton Manila,550,"80 Andrews Avenue Sheraton Manila Hotel, Pasay, Luzon 1309 Philippines",5.0,"Relish in delicious, locally-inspired dishes and expertly crafted cocktails at S Kitchen. Featuring a colorful and elegant ambiance, this restaurant in Pasay City offers buffet stations and Filipino dishes made with local ingredients.","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Drinks","Filipino, International, Asian","Reservations, Private Dining, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Buffet, Wine and Beer, Non-smoking restaurants",4.5,5.0,4.5,,"₱500 - ₱2,650"
/Restaurant_Review-g298452-d15581315-Reviews-Madison_Lounge_Bar-Pasay_Metro_Manila_Luzon.html,Madison Lounge & Bar,357,"1 Newport Boulevard Newport City Ground Floor, Hilton Manila, Pasay, Luzon 1309 Philippines",5.0,,"Vegetarian Friendly, Vegan Options",,"Bar, Cafe, Pizza, Contemporary",,5.0,5.0,5.0,,"₱1,000 - ₱1,200"
/Restaurant_Review-g1758900-d17661196-Reviews-The_Cellar-Taguig_City_Metro_Manila_Luzon.html,The Cellar,277,"8th Avenue Corner 35th Street, Grand Hyatt Manila, Taguig City, Luzon 1634 Philippines",5.0,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,"Wine Bar, Bar, International",,5.0,5.0,4.5,5.0,"₱600 - ₱1,800"
/Restaurant_Review-g298452-d23967320-Reviews-Rooftop_11-Pasay_Metro_Manila_Luzon.html,Rooftop 11,136,"Newport Boulevard Newport City, Pasay, Luzon 1309 Philippines",5.0,,,"Lunch, Dinner, Late Night, Drinks","American, Filipino, Bar, International, Asian, Grill, Pub",,5.0,5.0,5.0,5.0,
/Restaurant_Review-g1758900-d9993892-Reviews-Samba-Taguig_City_Metro_Manila_Luzon.html,Samba,668,"30th 5th Avenue Bonifacio Global City, Taguig City, Luzon 1630 Philippines",5.0,,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Drinks","Peruvian, Latin, Seafood, Healthy, Grill","Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",4.5,4.5,4.5,5.0,"₱676 - ₱1,127"
/Restaurant_Review-g312693-d13334863-Reviews-Enbu-Paranaque_Metro_Manila_Luzon.html,Enbu,437,"Seaside Drive Okada Manila, Paranaque, Luzon 1701 Philippines",5.0,,,Lunch,Grill,"Private Dining, Validated Parking, Valet Parking, Full Bar, Digital Payments, Cash Only, Accepts Credit Cards, Non-smoking restaurants",5.0,5.0,4.5,5.0,"₱1,070 - ₱11,265"
/Restaurant_Review-g298574-d25263117-Reviews-The_Alley_Cloverleaf-Quezon_City_Metro_Manila_Luzon.html,The Alley Cloverleaf,94,"Ayala Malls Cloverleaf A. Bonifacio Avenue, Quezon City, Luzon 1121 Philippines",5.0,,,"Lunch, Dinner, Drinks","Italian, Chinese, American",,4.5,5.0,5.0,5.0,"₱988 - ₱1,088"
/Restaurant_Review-g298453-d10514641-Reviews-Party_Party_Family_KTV-Pasig_Metro_Manila_Luzon.html,Party Party Family KTV,237,"United Street 6th Floor Ace Hotel And Suites, Pasig, Luzon 1603 Philippines",5.0,,Vegetarian Friendly,"Dinner, Late Night, Drinks","Bar, Filipino, Pub",,4.5,4.5,4.5,,
/Restaurant_Review-g298574-d13124974-Reviews-Cafe_Inggo_1587-Quezon_City_Metro_Manila_Luzon.html,Cafe Inggo 1587,272,"Biak Na Bato Corner Quezon Boulevard Ave., Quezon City, Luzon 1114 Philippines",5.0,,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Drinks","Filipino, Cafe, Spanish, Healthy","Reservations, Seating, Parking Available, Wheelchair Accessible, Table Service",5.0,5.0,5.0,,
/Restaurant_Review-g298452-d15030494-Reviews-Milagritos-Pasay_Metro_Manila_Luzon.html,Milagritos,186,"Seaside Boulevard 3rd floor, TRYP by Wyndham Mall of Asia-Manila, Cor. Diokno Blvd. Mall of Asia Complex, Pasay, Luzon 1300 Philippines",5.0,"Like birds on their own flights, young travelers go on different paths in their travels. In the middle of the trip should be a place to refuel, to mingle, and make memories with their fellow wanderers. There should be a place like Milagritos - a watering hole for the free spirited and eager, a nest where those in flight can fold their wings a little and enjoy good food in a welcoming atmosphere.",,"Breakfast, Lunch, Dinner, Brunch","Filipino, International, Spanish","Seating, Table Service, Delivery, Takeout, Reservations, Parking Available, Highchairs Available, Serves Alcohol, Wine and Beer, Free Wifi, Accepts Credit Cards",5.0,5.0,5.0,5.0,"₱563 - ₱1,408"
/Restaurant_Review-g298452-d15582390-Reviews-Kusina_Sea_Kitchens-Pasay_Metro_Manila_Luzon.html,Kusina Sea Kitchens,1524,"1 Newport Boulevard Third Floor, Hilton Manila, Pasay, Luzon 1300 Philippines",5.0,"Kusina is an all day interactive buffet outlet serving breakfast, lunch and dinner daily. The restaurant features a wholesome breakfast with Asian options that evolves to a more international offering during lunch and dinner with a focus on fresh seafood and local favorites. A small a la carte menu complements the open and interactive buffet counters and is supported by a creative beverage list.","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner","Filipino, Healthy","Reservations, Seating, Parking Available, Validated Parking, Highchairs Available, Serves Alcohol, Full Bar, Table Service, Buffet",5.0,5.0,4.5,5.0,"₱2,200 - ₱3,000"
/Restaurant_Review-g298450-d12675821-Reviews-Spice_Cafe-Makati_Metro_Manila_Luzon.html,Spice Cafe,151,"8008 Makati Ave cor Kalayaan Ave 7/F City Garden Grand Hotel, Makati, Luzon 1210 Philippines",5.0,Spice Cafe is located at the 7th Flr. of City Garden Grand Hotel and offers sumptuous breakfast buffet from 7AM until 11:00AM. A la Carte lunch is also served until 2PM.,"Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Brunch","American, Filipino, Cafe, Asian","Reservations, Buffet, Seating, Valet Parking, Highchairs Available, Wheelchair Accessible, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Takeout, Television, Serves Alcohol",5.0,5.0,4.5,,"₱500 - ₱1,000"
/Restaurant_Review-g298574-d7604507-Reviews-Millie_s_All_Day_Dining_at_Microtel_UP_Technohub_QC-Quezon_City_Metro_Manila_Luzo.html,Millie's All-Day Dining at Microtel UP Technohub QC,317,"Microtel by Wyndham UP Technohub Commonwealth Avenue UP-AyalaLand Technohub, Diliman, Quezon City, Luzon 1121 Philippines",5.0,"Located at Microtel by Wyndham UP Technohub in Quezon City, our restaurant's delectable lineup of comfort food and international fare offers guests a fresh new taste on traditional favorites. Bring your family and friends over to a delicious feast of Millie's best sellers. And when you take your simple meetups further, Millie's perfectly serves your function room requirements for meetings, corporate events, and social gatherings. You can also hold cocktail parties and intimate get-together at the al fresco area in the garden quadrangle, or at the roof deck pool area which has a commanding view of the Quezon City skyline.","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Breakfast, Brunch","Filipino, International, Asian","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Delivery, Table Service, Validated Parking, Accepts Credit Cards",4.5,5.0,4.5,5.0,₱6 - ₱10
/Restaurant_Review-g298452-d17431903-Reviews-The_Lounge-Pasay_Metro_Manila_Luzon.html,The Lounge,104,"80 Andrews Avenue Ground Level, Sheraton Manila Hotel, Pasay, Luzon 1309 Philippines",5.0,,,"Breakfast, Lunch, Dinner","Filipino, International, Asian",,5.0,5.0,5.0,,₱300 - ₱800
/Restaurant_Review-g298453-d14880648-Reviews-Ace_Coffee_Lounge-Pasig_Metro_Manila_Luzon.html,Ace Coffee Lounge,278,"United Street Ace Hotel & Suites, Corner Brixton Street Kapitolyo, Ground Floor Ala Carte Area, Pasig, Luzon 1603 Philippines",5.0,,,"Breakfast, Lunch, Dinner",,"Takeout, Seating, Table Service, Reservations",4.5,4.5,4.5,,
/Restaurant_Review-g298452-d1988461-Reviews-Millie_s_All_Day_Dining_at_Microtel_Mall_of_Asia-Pasay_Metro_Manila_Luzon.html,Millie's All-Day Dining at Microtel Mall of Asia,323,"Coral Way Ave. Corner Seaside Boulevard Microtel by Wyndham, Pasay, Luzon 1308 Philippines",4.5,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,"Filipino, Asian, International",,4.5,4.5,4.5,4.0,₱225 - ₱789
/Restaurant_Review-g298450-d24125928-Reviews-Nonya_Cafe-Makati_Metro_Manila_Luzon.html,Nonya Cafe,243,"126 HV Dela Costa St, Salcedo Village Somerset Central Salcedo Makati, Makati, Luzon 1227 Philippines",5.0,,,"Breakfast, Lunch, Dinner, Drinks","International, Asian, Singaporean, Malaysian","Delivery, Private Dining, Serves Alcohol, Wine and Beer, Digital Payments, Accepts Credit Cards, Family style, Non-smoking restaurants",4.5,4.5,4.5,,
/Restaurant_Review-g298574-d12538471-Reviews-Misto-Quezon_City_Metro_Manila_Luzon.html,Misto,469,"Sola Corner Lux Drives In Seda Vertis North, Quezon City, Luzon 1105 Philippines",4.5,"""MISTO"" is Seda Hotels' signature all-day international dining restaurant, that fuses a medley of international flavors for its delectable ala carte and extensive buffet selection ranging from universal classics to Filipino favorites. Coined after an Italian word for ""mixed"", Seda Vertis North’s Misto sits on an expansive 702 sqm of space that is designed with modern interiors and al fresco seating that make it a perfect and conducive venue for families and friends; business and social gatherings. With a capacity of 262 seats, Misto showcases a show kitchen of seven (7) interactive cooking stations: Asian, grill, noodles, pasta and pizza, carving, dessert, and beverage. Traditional Filipino","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch","Filipino, International, Asian","Reservations, Seating, Parking Available, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Table Service, Validated Parking, Full Bar",4.5,5.0,4.5,4.5,"₱500 - ₱1,000"
/Restaurant_Review-g1806168-d25256216-Reviews-Tong_Yang_Greenhills-San_Juan_Metro_Manila_Luzon.html,Tong Yang Greenhills,68,"Unit 103 G/f Promenade Mall Greenhills, San Juan, San Juan, Luzon 1503 Philippines",5.0,Shabu Shabu and Grill Buffet Restaurant,,"Lunch, Dinner, Late Night, Drinks","Filipino, Seafood, Asian, Grill",,5.0,5.0,5.0,,₱789 - ₱845
/Restaurant_Review-g298452-d15581334-Reviews-Hua_Yuan_Brasserie_Chinoise-Pasay_Metro_Manila_Luzon.html,Hua Yuan - Brasserie Chinoise,284,"Newport City 1 Newport Boulevard Second Floor, Hilton Manila, Pasay, Luzon 1309 Philippines",5.0,,"Vegetarian Friendly, Vegan Options",,"Chinese, Asian, Healthy",,4.5,5.0,4.5,5.0,"₱1,000 - ₱1,500"
/Restaurant_Review-g1758900-d15590710-Reviews-No_8_China_House-Taguig_City_Metro_Manila_Luzon.html,No. 8 China House,535,"8th Avenue corner 35th Street Grand Hyatt, Taguig City, Luzon 1634 Philippines",5.0,"Unique, fun and informal dining featuring a flavoursome culinary journey of best-loved Chinese specialties including Peking Duck, Chinese BBQ, Homemade Dim Sum and Cantonese seafood, all prepared before your eyes in several cooking stations. The highlight of the restaurant is its interactive setting and atmosphere--a very modern space with show kitchens and live stations, reminiscent of the upbeat","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner","Chinese, Asian","Takeout, Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,5.0,4.5,5.0,"₱300 - ₱1,200"
/Restaurant_Review-g298574-d15186237-Reviews-Tong_Yang_The_Block_SM_City_North_Edsa-Quezon_City_Metro_Manila_Luzon.html,"Tong Yang, The Block SM City North Edsa",227,"Brgy Bagong Pag-asa North Avenue 3/F The Block, SM North Edsa, Quezon City, Luzon 1105 Philippines",5.0,,,"Lunch, Dinner, Late Night","Asian, Chinese, Japanese, Filipino, International, Sushi, Grill, Soups",,5.0,5.0,5.0,5.0,₱788 - ₱838
