name,address,about,review_count,rating,rating_description,rating_Location,rating_Cleanliness,rating_Service,rating_Value,Property_amenities,Room_features,Room_types,hotel_class,walkability_score,walkability_description,nearby_restaurant_count,nearby_attraction_count,price_range,formerly_known_as,location,number_of_rooms
Admiral Hotel Manila - MGallery,"2138 Roxas Boulevard Malate Manila, Manila, Luzon 1004 Philippines","Admiral Hotel Manila - MGallery is a luxury 5-star boutique hotel located along Roxas Boulevard. Facing the majestic view of the Manila Bay, the hotel is a 30-minute drive to and from Ninoy Aquino International Airport. Rizal Park, Intamuros, Mall of Asia, SMX Convention Center, Cultural Center of the Philippines (CCP), National Museum of the Philippines, and Philippine International Convention Center (PICC) are in close proximity. This reimagined property is inspired by Filipino-Spanish and Art Deco design architecture reminiscent of the early 1940s Old Manila. It has 123 well-appointed rooms including 6 executive suites and the Doña Presidential Suite, 4 indulgent restaurants, sophisticated event spaces, a chic Parisian spa, and a gym facility. The hotel is an ideal destination for tourists, families, business and leisure travelers. All our guestrooms are inspired by the Filipino-Spanish culture and character, reflecting the city’s golden era with modern sophistication and refinement. Designed for ultimate guest comfort, the rooms and suites are well-furnished with luxurious beddings and signature organic Appelles bathroom amenities for rooms and Cinq Mondes for suites, large-screen Samsung TVs with Bose Soundbars, TWG tea set, and Nespresso coffee machines.",179,5.0,Excellent,4.5,5.0,5.0,4.5,"Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Babysitting,Children Activities (Kid / Family Friendly),Airport transportation,Spa,Concierge,Restaurant,Non-smoking hotel,Clothes dryer,Dry cleaning,Laundry service,Washing machine","Soundproof rooms,Air conditioning,Desk,Room service,Safe,Kitchenette,Microwave,Bath / shower,Seating area,Sofa,Clothes rack,Iron,Minibar,Refrigerator,Kitchenware,Hair dryer","Non-smoking rooms,Family rooms",4.5,67,Somewhat walkable,62,2,"₱7,726",Admiral Baysuites GTM,Philippines,123
Ramada by Wyndham Manila Central,"Ongpin corner Quintin Paredes Streets Binondo, Manila, Luzon 1006 Philippines","Ramada by Wyndham Manila Central hotel is in the midst of one of Manila's central business, cultural, and commercial districts, and is accessible to all modes of public transportation — including trains, buses, jeepneys, and horse-drawn carriages. Our central location is 11 kilometers away from Ninoy Aquino International Airport (MNL) and a few minutes away from the ferry port.",1058,4.5,Excellent,4.0,4.5,4.5,4.5,"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Kids stay free,Highchairs available,Airport transportation,Business Center with Internet Access,Wifi,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Complimentary welcome drink,Shuttle bus service,Car hire,Taxi service,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,24-hour security,Baggage storage,Concierge,Currency exchange,Newspaper,Doorperson,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service","Blackout curtains,Bathrobes,Air conditioning,Desk,Housekeeping,Coffee / tea maker,Cable / satellite TV,Bidet,Room service,Safe,Telephone,Wardrobe / closet,Bottled water,Clothes rack,Iron,Laptop safe,Private bathrooms,Wake-up service / alarm clock,Minibar,Refrigerator,Flatscreen TV,Bath / shower,Complimentary toiletries,Hair dryer","City view,Non-smoking rooms,Suites,Smoking rooms available",4.0,94,Great for walkers,81,11,"₱3,449",,Philippines,114
Casa Bocobo Hotel,"Jorge Bocobo St. corner Kalaw Ave Ermita, Manila, Luzon 1000 Philippines","The perfect hotel for travelers who yearn only the basic in lodging but demand excellence in service. A no-frills hotel, we put emphasis on practicality and sensibility. Rooms are impeccably clean and comfortable, set in a safe and secure location. Ideally located along Jorge Bocobo Street corner Kalaw and Avenue in Ermita, we are in close proximity to business and commercial districts. Nearby tourist spots include Rizal Park, Roxas Boulevard, Intramuros, Manila Ocean Park, and Binondo (Chinatown). Manned by well-trained personnel whose mission is to provide guests service that radiates the warmth and efficiency of true Filipino hospitality - ensuring a stay so comfortable; guests will definitely feel right at home.",567,4.0,Very good,4.0,4.0,4.0,4.0,"Free High Speed Internet (WiFi),Wifi,Free breakfast,Restaurant,Concierge,Non-smoking hotel,Dry cleaning,Laundry service","Air conditioning,Room service,Safe,Flatscreen TV","Non-smoking rooms,Suites",2.0,96,Great for walkers,65,16,"₱1,696",,Philippines,72
Manila Grand Opera Hotel,"# 925 Doroteo Jose Sta. Cruz, Manila, Luzon 1003 Philippines","The Manila Grand Opera Hotel stands today on the former site of the Manila Grand Opera House, a cultural landmark that showcased Philippine arts from 1900 to the late 1950. Formally launched in August 2008, it combines the historic theater's cultural legacy with a boost to the travel and tourism industry as the only luxury hotel in Manila's Sta. Cruz district, near Binondo's Chinatown. Located on the corner of Rizal Avenue and Doroteo Jose Street, the Manila Grand Opera Hotel today caters to an increasing number of visitors from China and Taiwan, aside from habitues and residents of the area who have long hoped for such a center of elegance and beauty to emerge in their midst. At the hotel's entrance stands a historical marker about the inauguration of the first Philippine Assembly on Oct. 16, 1907 by United States Secretary of War William Howard Taft, a historic event that was held there. As the only elegant hotel in downtown Manila, Manila Grand Opera Hotel expects to cater to the increasing number of Chinese visitors from the mainland and Taiwan who will feel at home staying near Manila's Chinatown. The hotel also serves the needs of the Chinese community residing in the nearby Chinatown by providing accommodations for their relatives and friends coming from abroad, he added. The luxury hotel has 250 contemporary guest rooms equipped with state-of-the-art door lock system, cable TV and Wi-Fi and LAN access, a mini-bar with a wide variety of snacks and drinks, with amenities such as buffet breakfast, use of the Infinity swimming pool,and spa. For the dining enjoyment of guests, there are the New President Sharksfin Seafood Restaurant serving authentic Chinese cuisine and the Circa 1900 Bar and Restaurant offering an array of gastronomic delights in an old world ambiance created by the blown up photographs on the walls of artists who had performed at the old theater. For big social gatherings, the hotel's Ambassador's Hall can accommodate up to 1,000 guests while several Meeting Rooms are also available for smaller gatherings such as business meetings, social get-together, dining, meeting and banquets.",260,4.0,Very good,3.5,4.0,4.0,4.0,"Free parking,Free internet,Pool,Sauna,Free breakfast,Casino and Gambling,Evening entertainment,Airport transportation,Valet parking,Wifi,Outdoor pool,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Wine / champagne,Karaoke,Shuttle bus service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,Massage,Steam room,Baggage storage,Concierge,Currency exchange,Newspaper,Non-smoking hotel,ATM on site,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service","Air conditioning,Desk,Housekeeping,Room service,Coffee / tea maker,Refrigerator,Flatscreen TV,Bath / shower,Safe,Telephone,Bottled water,Private bathrooms,Wake-up service / alarm clock,Electric kettle,Complimentary toiletries","Non-smoking rooms,Suites,Family rooms,Smoking rooms available",3.0,80,Somewhat walkable,29,4,"₱1,696",,Philippines,205
Pearl Garden Hotel,"1700 M. Adriatico St. corner General Malvar St. Malate, Manila, Luzon 1000 Philippines","<div><p>If you’re looking for a hotel in Manila, look no further than Pearl Garden Hotel.</p><p>While staying at Pearl Garden Hotel, visitors can check out Fort Santiago (1.3 mi) and Casa Manila (1.3 mi), some of Manila's top attractions.</p><p>Pearl Garden Hotel is a hotel offering air conditioning in the rooms, and it is easy to stay connected during your stay as free wifi is offered to guests.</p><p>The hotel features a 24 hour front desk, room service, and 24 hour check-in. Plus, guests can enjoy free breakfast, which has made this a popular choice among travelers visiting Manila. For guests with a vehicle, street parking is available.</p><p>If you like cafes, Pearl Garden Hotel is conveniently located near Cafe Adriatico, Hizon's Cakes &amp; Pastries, and Mary Grace.</p><p>If you’re looking for things to do, you can check out Intramuros (1.0 mi), Rizal Park (0.8 mi), or Paco Park (0.6 mi), which are popular attractions amongst tourists, and they are all within walking distance.</p><p>The staff at Pearl Garden Hotel looks forward to serving you during your upcoming visit.</p><p></p></div>",264,3.5,Very good,4.0,4.0,4.0,4.0,"Street parking,Free internet,Free breakfast,Car hire,Banquet room,Meeting rooms,Massage,24-hour security,Wifi,Paid wifi,Coffee shop,Restaurant,Breakfast buffet,Taxi service,Baggage storage,Convenience store,Newspaper,Non-smoking hotel,ATM on site,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Ironing service","Air conditioning,Room service,Safe,Telephone,Coffee / tea maker,Flatscreen TV,Bath / shower,Complimentary toiletries,Bottled water,Clothes rack,Hair dryer","Non-smoking rooms,Suites",3.0,97,Great for walkers,208,14,"₱2,431",,Philippines,83
Sheraton Manila Bay,"M. Adriatico corner General Malvar Street Malate, Manila, Luzon 1004 Philippines","Sheraton Manila Bay is a 5-star landmark hotel located at the heart of Manila near iconic destinations and central business districts. It has 233 guest rooms and suites equipped with stylish essentials and flexible dining and meeting spaces. We offer a variety of meeting spaces to make your event more memorable. Be it an intimate dinner for 20 or bustling business breakfast, we have the perfect space that will suit you and all those attending!",1776,4.5,Excellent,4.0,4.5,4.5,4.0,"Valet parking,Free internet,Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Babysitting,Car hire,Business Center with Internet Access,Paid private parking on-site,Wifi,Hot tub,Outdoor pool,Coffee shop,Restaurant,Breakfast buffet,Complimentary Instant Coffee,Complimentary tea,Wine / champagne,Poolside bar,Rooftop bar,Taxi service,Conference facilities,Banquet room,Meeting rooms,Rooftop terrace,Concierge,Currency exchange,Newspaper,Butler service,24-hour front desk,Dry cleaning,Laundry service,Ironing service","Bathrobes,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Coffee / tea maker,Cable / satellite TV,Bidet,Room service,Safe,Sofa,Telephone,Wardrobe / closet,Bottled water,Iron,Laptop safe,Wake-up service / alarm clock,Minibar,Refrigerator,Electric kettle,Flatscreen TV,Radio,Whirlpool bathtub,Bath / shower,Complimentary toiletries,Hair dryer","City view,Landmark view,Non-smoking rooms,Suites,Family rooms",5.0,97,Great for walkers,210,13,"₱10,065",Pan Pacific Manila,Philippines,233
Riviera Mansion Hotel,"1638 A Mabini Street, Malate, Manila, Luzon Philippines","<div><p>See why so many travelers make Riviera Mansion Hotel their hotel of choice when visiting Manila. Providing an ideal mix of value, comfort and convenience, it offers an array of amenities designed for travelers like you.</p><p>While staying at Riviera Mansion Hotel, visitors can check out Malate Church (0.3 mi) and Casa Manila (1.2 mi), some of Manila's top attractions.</p><p>Rooms at Riviera Mansion Hotel offer a flat screen TV, air conditioning, and a refrigerator providing exceptional comfort and convenience, and guests can go online with free wifi.</p><p>A 24 hour front desk, a concierge, and room service are some of the conveniences offered at this hotel. An on-site restaurant will also help to make your stay even more special. If you are driving to Riviera Mansion Hotel, parking is available.</p><p>If you’re looking for a Chinese restaurant, consider a visit to Spiral, Cafe Ilang-Ilang, or Li Li, which are all conveniently located a short distance from Riviera Mansion Hotel.</p><p>If you’re looking for things to do, you can check out Fort Santiago (1.2 mi), Intramuros (0.9 mi), or Rizal Park (0.7 mi), which are popular attractions amongst tourists, and they are all within walking distance.</p><p>At Riviera Mansion Hotel, your comfort and satisfaction come first, and they look forward to welcoming you to Manila.</p><p></p></div>",311,3.5,Very good,4.0,4.0,3.5,3.5,"Parking,Free High Speed Internet (WiFi),Bar / lounge,Children Activities (Kid / Family Friendly),Car hire,Business Center with Internet Access,Conference facilities,Massage,Wifi,Paid internet,Coffee shop,Restaurant,Breakfast in the room,Taxi service,Banquet room,Meeting rooms,Salon,24-hour security,Baggage storage,Concierge,Currency exchange,Newspaper,Non-smoking hotel,Doorperson,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry","Air conditioning,Desk,Housekeeping,Room service,Refrigerator,Flatscreen TV,Bath / shower,Complimentary toiletries,Safe,Telephone,Laptop safe,Hair dryer","Non-smoking rooms,Suites",3.0,99,Great for walkers,198,19,"₱1,979",,Philippines,160
White Knight Hotel Intramuros,"Plaza San Luis Complex General Luna Street corner Urdaneta Street Intramuros, Manila, Luzon 1002 Philippines","White Knight Hotel Intramuros in Manila is located within the Plaza San Luis Complex. It offers accommodations in Manila, Philippines that are air-conditioned and filled with the essential amenities you'd need, such as flat-screen cable TV, coffee and tea maker, and private toilet and bath with hot/cold water. Some of its amenities include Coco Bango Cafe, Wi-Fi access, massage service, and airport and city transfers. While staying here you can visit some tourist spots like Fort Santiago, Statues of King Carlos IV, and Manila Ocean Park.",465,4.0,Very good,4.5,4.0,4.0,4.0,"Free parking,Free High Speed Internet (WiFi),Bar / lounge,Bicycle rental,Nightclub / DJ,Babysitting,Airport transportation,Banquet room,Valet parking,Wifi,Coffee shop,Restaurant,Meeting rooms,Baggage storage,Concierge,Currency exchange,Newspaper,Non-smoking hotel,Shops,24-hour front desk,Laundry service","Air conditioning,Room service,Safe,Telephone,Coffee / tea maker,Refrigerator,Flatscreen TV,Bath / shower,Wake-up service / alarm clock,Hair dryer","Non-smoking rooms,Suites,Family rooms",2.0,91,Great for walkers,33,21,"₱1,477",,Philippines,29
Orchid Garden Suites - Manila,"620 Pablo Ocampo Sr. St Malate, Manila, Luzon 1004 Philippines","<div><p>Everyone needs a place to lay their weary head. For travelers visiting Manila, Orchid Garden Suites - Manila is an excellent choice for rest and rejuvenation. Well-known for its family-friendly environment and proximity to great restaurants and attractions, Orchid Garden Suites - Manila makes it easy to enjoy the best of Manila.</p><p>As your “home away from home,” the hotel rooms offer a flat screen TV, air conditioning, and a refrigerator, and getting online is easy, with free wifi available.</p><p>Guests have access to a 24 hour front desk, room service, and a concierge while staying at Orchid Garden Hotel. In addition, Orchid Garden Suites - Manila offers a pool and free breakfast, which will help make your Manila trip additionally gratifying. And, as an added convenience, there is free parking available to guests.</p><p>Given the close proximity of popular landmarks, such as Paco Park (1.4 mi) and Intramuros (1.9 mi), guests of Orchid Garden Hotel can easily experience some of Manila's most well known attractions.</p><p>If you’re looking for an Italian restaurant, consider a visit to Spiral, Cafe Ilang-Ilang, or My Kitchen at the Oasis, which are all conveniently located a short distance from Orchid Garden Hotel.</p><p>Manila is also known for some great art galleries, including Silahis Arts &amp; Artifacts, Bahay Nakpil, and 1335Mabini, which are not too far from Orchid Garden Suites - Manila.</p><p>Whether you’re traveling for business, pleasure or both, Orchid Garden Suites - Manila is sure to make your visit to Manila one worth remembering.</p><p></p></div>",270,3.5,Very good,4.0,4.0,4.0,4.0,"Free public parking nearby,Free High Speed Internet (WiFi),Pool,Bar / lounge,Karaoke,Children Activities (Kid / Family Friendly),Airport transportation,Business Center with Internet Access,Paid private parking nearby,Wifi,Outdoor pool,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Complimentary tea,Taxi service,Conference facilities,Banquet room,Meeting rooms,24-hour security,Baggage storage,Concierge,Currency exchange,Newspaper,Non-smoking hotel,Shared lounge / TV area,24-hour check-in,24-hour front desk,Laundry service","Air conditioning,Desk,Housekeeping,Room service,Coffee / tea maker,Refrigerator,Flatscreen TV,Bath / shower,Safe,Telephone,Bottled water,Clothes rack,Iron,Private bathrooms,Wake-up service / alarm clock,Electric kettle,Complimentary toiletries,Hair dryer","Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available",3.0,81,Good for walkers,37,5,"₱1,866",,Philippines,99
Amelie Hotel Manila,"1667 Jorge Bocobo St, Manila, Luzon 1004 Philippines","Amelie Hotel Manila is a 70 - room boutique hotel located in the old bohemian district of Malate, Manila. We are a short drive from the international and domestic airports, cultural sights, shopping malls and the business districts of Makati and Fort Bonifacio. Perfect for a well rounded Manila experience",207,4.0,Very good,4.5,4.5,4.5,4.0,"Valet parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Children Activities (Kid / Family Friendly),Airport transportation,Meeting rooms,Wifi,Rooftop pool,Outdoor pool,Bar / lounge,Coffee shop,Restaurant,Breakfast buffet,Car hire,Massage,24-hour security,Baggage storage,Concierge,Newspaper,Sun terrace,24-hour front desk,Dry cleaning,Laundry service,Ironing service","Desk,Housekeeping,Room service,Safe,Coffee / tea maker,Flatscreen TV,Bath / shower,Complimentary toiletries,Telephone,Bottled water,Iron,Laptop safe,Wake-up service / alarm clock,Hair dryer",Suites,3.0,98,Great for walkers,220,12,"₱2,262",,Philippines,70
Town And Country V. Mapa,"4549 V. Mapa Street, Santa Mesa, Manila, Luzon 1016 Philippines","<div><p>Finding an ideal small hotel in Manila does not have to be difficult. Welcome to Town and Country Hotel, a nice option for travelers like you.</p><p>Close to some of Manila's most popular landmarks, such as University of Santo Tomas (1.5 mi) and Quiapo Church (2.0 mi), Town and Country Hotel is a great destination for tourists.</p><p>You’ll enjoy relaxing rooms that offer air conditioning, a minibar, and a refrigerator, and you can stay connected during your stay as Town and Country Hotel offers guests free wifi.</p><p>The small hotel features a 24 hour front desk, a concierge, and room service. Plus, Town and Country Hotel offers an on-site restaurant, providing a pleasant respite from your busy day. For guests with a vehicle, parking is available.</p><p>While in Manila, you may want to check out some of the restaurants that are a short walk away from Town and Country Hotel, including Emerald Garden (0.9 mi), Vincent's Place Kambingan Restaurant (1.1 mi), and New Sanly Seafood Restaurant (0.9 mi).</p><p>Best of all, Town and Country Hotel makes it easy to experience many great Manila attractions like San Agustin Church, Metropolitan Museum of Art, and Museum of Contemporary Art and Design (MCAD), Manila, which are some popular art museums.</p><p>Town and Country Hotel looks forward to welcoming you on your visit to Manila.</p><p></p></div>",9,3.5,Very good,4.5,3.5,3.5,5.0,"Parking,Free High Speed Internet (WiFi),Hot tub,Bar / lounge,Children Activities (Kid / Family Friendly),Concierge,Newspaper,24-hour front desk,Wifi,Coffee shop,Restaurant,Non-smoking hotel","Air conditioning,Desk,Room service,Seating area,Minibar,Refrigerator,Bath / shower",Family rooms,,51,Somewhat walkable,43,3,₱792,,Philippines,40
Airo Hotel-Manila,"Antonio Flores St, Manila, Luzon 1000 Philippines","<div><p>Airo Hotel envisions itself to be a premium boutique hotel in Manila. Ideally situated in Ermita, Airo Hotel features air-conditioned rooms, free high-speed WiFi and a shared lounge. The property is walking distance from US Embassy along Roxas Boulevard, around 1.1 km from Rizal Park, 1.7 km from Intramuros and 2 km from Fort Santiago. The accommodation offers a 24-hour front desk, room service and luggage storage for guests. Ermita Church just a stone-throw away from Airo Hotel, while San Agustin Church is 2.4 km from the property. The nearest airport is Manila Ninoy Aquino International Airport, 10 km from the accommodation.</p><p></p><p>For breakfast buffet/ala carte lunch/dinner, hotel guests may visit Estoria Manila, a Filipino-Spanish restaurant across the hotel.</p></div>",4,4.5,Excellent,,,,,"Paid public parking on-site,Street parking,Free High Speed Internet (WiFi),Coffee shop,Meeting rooms,Baggage storage,Non-smoking hotel,24-hour front desk,Breakfast available","Blackout curtains,Air conditioning,Desk,Housekeeping,Room service,Electric kettle,Cable / satellite TV,Bidet,Telephone,Bottled water,Clothes rack,Wake-up service / alarm clock,Bath / shower,Complimentary toiletries",Non-smoking rooms,5.0,96,Great for walkers,83,20,"₱1,244",OYO 241 Airo Hotel,Philippines,57
Leez Inn Malate,"1139 Nakpil Street Malate, Manila, Luzon 1004 Philippines","Take a breather from the bustle of the city by staying at Leez Inn in Malate, Manila, Philippines. Offering one of the more affordable accommodations in the area, the inn offers travelers a comfortable and accessible retreat in Manila. Spend a night or two with us and see how practicality and sensibility converge in our rooms. Each one is a welcoming space that presents a peaceful setting bathe is cool blues and grays. Meanwhile, the services we offer may be basic, but they are provided with a level of professionalism as those found in luxury hotels. Our most noteworthy feature, though, is our prime location. Surrounded by historic tourist attractions and key places of interest, our modest inn stands along the popular Nakpil Street where many posh bars and restaurants are found. With all these indispensable offerings from Leez Inn, you can always expect that your visit to the vibrant capital will be a gratifying experience.",182,3.5,Very good,3.0,4.0,3.5,3.5,"Free High Speed Internet (WiFi),Wifi,Coffee shop,Full body massage,24-hour security,Baggage storage,24-hour check-in,24-hour front desk,Breakfast available,Massage,Non-smoking hotel","Air conditioning,Desk,Housekeeping,Safe,Coffee / tea maker,Refrigerator,Flatscreen TV,Bath / shower,Seating area,Telephone,Wake-up service / alarm clock,Complimentary toiletries",Non-smoking rooms,3.0,72,Somewhat walkable,107,12,"₱1,131",,Philippines,32
Rothman Hotel,"1633 M. Adriatico Str., Malate Malate, Manila, Luzon 0913 Philippines","<div><p>Looking for a place to stay in Manila? Then look no further than Rothman Hotel, a family-friendly hotel that brings the best of Manila to your doorstep.</p><p>Guest rooms offer air conditioning, a refrigerator, and a desk, and Rothman Hotel makes getting online easy as free wifi is available.</p><p>You can also take advantage of some of the amenities offered by the hotel, including a 24 hour front desk, 24 hour check-in, and a concierge. In addition, guests can enjoy an on-site restaurant during their visit. As an added convenience, there is free parking available to guests.</p><p>Given the close proximity of popular landmarks, such as Malate Church (0.3 mi) and Casa Manila (1.3 mi), guests of Rothman Hotel can easily experience some of Manila's most well known attractions.</p><p>While in Manila be sure to experience local crab favorites at Spiral, Harbor View Restaurant, or Cafe Ilang-Ilang.</p><p>If you’re looking for something to do, Fort Santiago (1.2 mi), Intramuros (0.9 mi), and Rizal Park (0.7 mi) are a nice way to spend some time, and they are all within walking distance of Rothman Hotel.</p><p>We’re sure you’ll enjoy your stay at Rothman Hotel as you experience everything Manila has to offer.</p><p></p></div>",385,4.0,Very good,4.5,4.0,4.0,4.0,"Free parking,Free High Speed Internet (WiFi),Bar / lounge,Car hire,Meeting rooms,Massage,24-hour security,Baggage storage,Parking,Wifi,Coffee shop,Restaurant,Breakfast in the room,Taxi service,Salon,Concierge,Currency exchange,Newspaper,Non-smoking hotel,ATM on site,Doorperson,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service","Air conditioning,Desk,Housekeeping,Room service,Safe,Refrigerator,Complimentary toiletries,Hair dryer,Telephone,VIP room facilities,Iron,Laptop safe","Non-smoking rooms,Smoking rooms available",3.0,98,Great for walkers,227,19,"₱1,979",,Philippines,247
JMM Grand Suites,"Jorge Bocobo Street Along Pedro Gil Street opposite Robinsons, Birch Tower 1622, Manila, Luzon 1004 Philippines","One of our top picks in Manila.Facing Robinsons Place Mall along Pedro Gil Street, JMM Grand Suites is just a 5-minute walk from Manila Bay. It houses an indoor swimming pool, a gym, a sauna and a cafeteria. WiFi and parking are complimentary. Fitted with a balcony, rooms, suites and apartments are air-conditioned and feature marble flooring. They offer a flat-screen TV with cable channels, a personal safe and an en suite bathroom with hot water supply and a hairdryer. A fridge is also provided. International delights are served at JMM Cafeteria, with the option of room service. JMM operates a 24-hour front desk. It offers assistance with baggage storage, laundry and dry cleaning services. The property is a 30-minute drive from Ninoy Aquino International Airport. Couples particularly like the location — they rated it 8.0 for a two-person trip. We speak your language!",116,3.0,Average,4.0,3.0,3.0,3.0,"Secured parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Restaurant,Billiards,Table tennis,Children Activities (Kid / Family Friendly),Wifi,Sauna,Breakfast in the room,Airport transportation,Shuttle bus service,Car hire,Steam room,24-hour security,Baggage storage,Concierge,Convenience store,Currency exchange,Non-smoking hotel,Outdoor fireplace,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service","Air conditioning,Housekeeping,Safe,Bottled water,Kitchenette,Microwave,Refrigerator","Non-smoking rooms,Suites,Family rooms",3.0,98,Great for walkers,208,18,"₱1,753",,Philippines,70
Wanderers Guest House,"1750 Adriatico Street Corner Nakpil Street, Manila, Luzon 1004 Philippines","Facilities & Amenities: 24 hour reception, 24 hour security. No curfew or lockout, lockers available, luggage storage, hot showers, free towels in room. Designated smoking areas (smoke-free in every bedroom). Payment must be on arrival in cash. Check In/Out Time is 12 noon. Terrace Lounge Restaurant and bar with food and drinks served from 7 am until late night. Free Wifi.",313,4.0,Very good,4.5,3.5,4.0,4.0,"Parking,Free internet,Bar / lounge,Bicycle rental,Evening entertainment,Rooftop terrace,BBQ facilities,24-hour front desk,Wifi,Restaurant,Rooftop bar,Baggage storage,Concierge,Non-smoking hotel,Shared kitchen,Shared lounge / TV area,Sun terrace,Private check-in / check-out,Laundry service",Air conditioning,"Non-smoking rooms,Family rooms",,97,Great for walkers,176,16,₱794,,Philippines,34
Skyloft Hotel,"1160 Gov Forbes St. Lacson Ave. Sampaloc, Manila, Luzon 1016 Philippines","Finding an ideal family-friendly hotel in Manila does not have to be difficult. Welcome to Skyloft Hotel, a nice option for travelers like you. Given the close proximity of popular landmarks, such as Chinatown (1.4 mi) and Divisoria Market (1.5 mi), guests of Skyloft Hotel can easily experience some of Manila's most well known attractions. Rooms at Skyloft Hotel offer air conditioning and a kitchenette providing exceptional comfort and convenience, and guests can go online with free wifi. A 24 hour front desk and security are some of the conveniences offered at this hotel. A pool and a lounge will also help to make your stay even more special. When you’re feeling hungry, be sure to check out Kashmir, Assad's Cafe, and Gayyah's, which are some Indian restaurants that are popular with locals and out-of-towners alike. Should time allow, University of Santo Tomas, Quiapo Church, and Presidential Museum and Library are some popular attractions that are within walking distance. Skyloft Hotel looks forward to welcoming you on your visit to Manila.",66,3.5,Very good,4.5,4.5,4.0,4.0,"Free High Speed Internet (WiFi),Outdoor pool,Fitness Center with Gym / Workout Room,Kids stay free,Baggage storage,Non-smoking hotel,24-hour check-in,24-hour front desk","Air conditioning,Desk,Housekeeping,Safe,Microwave,Refrigerator,Cable / satellite TV,Bidet,Sofa,Bottled water,Private bathrooms,Wake-up service / alarm clock,Bath / shower,Complimentary toiletries",Non-smoking rooms,3.0,64,Somewhat walkable,75,5,"₱2,601",,Philippines,77
Oriental Zen Suites,"1545 A Mendoza St, Sampaloc, Manila, Luzon 1008 Philippines","Oriental Zen Suites is situated in Manila, 2.8 km from Intramuros. Rizal Park is 3.4 km from the property. Free WiFi is offered . Some units are air conditioned and include a seating area with a flat-screen TV. Some units also have a kitchen, equipped with a refrigerator. Oriental Zen Suites also includes a sun terrace. Manila Ocean Park is 4 km from Oriental Zen Suites, while World Trade Center Manila is 7 km away. The nearest airport is Manila International Airport, 12 km from the property. This property has been operational July 2015. Apartments/rooms: 22",44,4.5,Excellent,5.0,5.0,4.5,4.5,"Free parking,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Children Activities (Kid / Family Friendly),Airport transportation,Business Center with Internet Access,24-hour security,Parking,Wifi,Coffee shop,Restaurant,Breakfast available,Breakfast in the room,Snack bar,Shuttle bus service,Car hire,Taxi service,Baggage storage,Concierge,Non-smoking hotel,Shared lounge / TV area,Sun terrace,Express check-in / check-out,Private check-in / check-out,Dry cleaning,Laundry service","Soundproof rooms,Air conditioning,Desk,Housekeeping,Room service,Kitchenette,Flatscreen TV,Bath / shower,Telephone,Bottled water,Clothes rack,Wake-up service / alarm clock,Refrigerator","Bridal suite,Non-smoking rooms,Suites",3.0,74,Somewhat walkable,76,7,"₱1,131",,Philippines,22
Heroes Hotel,"1260 Florentino Torres Corner Osmeña Highway, Manila, Luzon 1017 Philippines","Heroes Hotel is one of Manila's newest hotels, offering clean, comfortable, and secure accommodations at the heart of the metro--all at an affordable price. Here at Hero's Hotel, we always have a hero's welcome for you!",81,4.5,Excellent,4.5,5.0,4.5,5.0,"Free parking,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Bicycles available,Children Activities (Kid / Family Friendly),Airport transportation,Business Center with Internet Access,Parking,Wifi,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Complimentary welcome drink,Wine / champagne,Game room,Board games / puzzles,Shuttle bus service,Meeting rooms,Massage,Rooftop terrace,24-hour security,Baggage storage,Concierge,Convenience store,Currency exchange,Non-smoking hotel,Shared lounge / TV area,24-hour front desk,Laundry service,Ironing service","Soundproof rooms,Air conditioning,Housekeeping,Safe,Bottled water,Wake-up service / alarm clock,Bath / shower,Hair dryer","Non-smoking rooms,Family rooms",3.0,54,Somewhat walkable,82,6,"₱1,696",,Philippines,50
