name,url,title,user_link,user_name,rating,content,visit_date,purpose,review_date
Intramuros,,,,,,,,,
Fort Santiago,/ShowUserReviews-g298573-d586732-r912820163-Fort_Santiago-Manila_Metro_Manila_Luzon.html,A Place with historical value.,/Profile/453angryp,ANGRY P,5.0,"Amazing Place, very historical and educational. A great experienced for everyone especially for the children.",Jul 2023,Solo,",25 August 2023"
Fort Santiago,/ShowUserReviews-g298573-d586732-r908767928-Fort_Santiago-Manila_Metro_Manila_Luzon.html,Amazing place,/Profile/rovemaejoyf,Rovemae Joy F,5.0,Such an Amazinggggg and beautiful place to visit with family and friends. Will surely come back soon,Sep 2022,Family,",8 August 2023"
Fort Santiago,/ShowUserReviews-g298573-d586732-r906362211-Fort_Santiago-Manila_Metro_Manila_Luzon.html,Historic Place to Visit,/Profile/Seonachilles,Gayle,5.0,Amazed with this historic view and beautiful place to visit in the Philippines. Amazing tourist spot here in Manila.,Nov 2022,Family,",29 July 2023"
Fort Santiago,/ShowUserReviews-g298573-d586732-r899573403-Fort_Santiago-Manila_Metro_Manila_Luzon.html,Must see part of historical Manila,/Profile/roaming_kiwi58,roaming_kiwi58,4.0,"Fort Santiago was built in 1571 by the Spanish as a citadel for Manila. It was badly damaged during World War II. Since 1953 it has been reconstructed, and ongoing work continues. It is within the old historical part of Manila known as the Intramuros.",Mar 2023,,",1 July 2023"
Fort Santiago,/ShowUserReviews-g298573-d586732-r897247842-Fort_Santiago-Manila_Metro_Manila_Luzon.html,A beautiful historical landmark in Manila,/Profile/RyanMNL-PH,Ryan,5.0,"This is my second time visiting this historical landmark. I really like how it looks today and the place is well maintained, lively and beautiful. There are souvenir shops and foods also. A must see when you visit Manila.",Jun 2023,,",23 June 2023"
Fort Santiago,/ShowUserReviews-g298573-d586732-r895854293-Fort_Santiago-Manila_Metro_Manila_Luzon.html,Educational place to visit!,/Profile/YuppieLionheart,YuppieLionheart,5.0,"A historical landmark in Manila located inside Intramuros. Fort Santiago is an open area so it is important that you bring your umbrella. If ever you get hungry while roaming around there are various cafes inside wherein you can grab some food and drinks. If you reach the back end of the fort, you'll see the beautiful view of Pasig River and the Binondo-Intramuros bridge. The entrance fee is cheap.",Jun 2023,,",19 June 2023"
Fort Santiago,/ShowUserReviews-g298573-d586732-r895349463-Fort_Santiago-Manila_Metro_Manila_Luzon.html,Cheap entry but could be better,/Profile/alexh11494,Alex H,3.0,"Some parts are nice but to be honest there really isn’t much information throughout the fort, so most of the time you don’t know what you’re looking at. Makes for some ok photos though but all in all we found it lacking a little bit, and it definitely could be improved.",Jun 2023,Couples,",15 June 2023"
Fort Santiago,/ShowUserReviews-g298573-d586732-r889064278-Fort_Santiago-Manila_Metro_Manila_Luzon.html,Travel,/Profile/maeo868,Mae O,5.0,It was nice experience ❤️❤️ completely come again  with my family marami place malalapit na pwde pang pasyalan ,Apr 2023,Friends,",5 May 2023"
Fort Santiago,/ShowUserReviews-g298573-d586732-r888760200-Fort_Santiago-Manila_Metro_Manila_Luzon.html,highly recommend Fort Santiago,/Profile/670paop,Pao P,5.0,"Overall, I am thoroughly impressed with Fort Santiago. The well-preserved ruins and structures allow visitors to explore and learn about the country's history. The site's layout is also very well-organized, with informative signs and helpful guides providing context and a deeper understanding of the importance of the fortress.",Apr 2023,Solo,",3 May 2023"
Fort Santiago,/ShowUserReviews-g298573-d586732-r888286740-Fort_Santiago-Manila_Metro_Manila_Luzon.html,Intramuros Tour,/Profile/151stephent,Stephen T,5.0,Really interesting. Well worth having the official guide show you around. He made it really come alive. There's a table inside the Fort where he is sitting and one price covers the whole group.,Apr 2023,,",29 April 2023"
Fort Santiago,,,,,,,,,
San Agustin Church,/ShowUserReviews-g298573-d310892-r899574670-San_Agustin_Church-Manila_Metro_Manila_Luzon.html,Interesting church in the Intramuros part of Manila,/Profile/roaming_kiwi58,roaming_kiwi58,4.0,"This is the oldest church in the Philippines and the only one in Manila to survive World War II devastation. There were several earlier versions of the church destroyed by fire and earthquakes. The current church was completed in 1607. It did have a pair of towers, but one was destroyed by an earthquake, so only one remains. ",Mar 2023,,",1 July 2023"
San Agustin Church,/ShowUserReviews-g298573-d310892-r889631332-San_Agustin_Church-Manila_Metro_Manila_Luzon.html,Historical and breathtaking church,/Profile/YuppieLionheart,YuppieLionheart,5.0,"One of the oldest church in the Philippines located at the heart of Intramuros in Manila City. If you are fond of architecture or a religious person, don't miss out this place as it will give you a classic vibes and if you want to learn more about its history, the place has a museum with a minimal entrance fee.",Apr 2023,,",9 May 2023"
San Agustin Church,/ShowUserReviews-g298573-d310892-r888788270-San_Agustin_Church-Manila_Metro_Manila_Luzon.html,Not so quiet mass in San Agustin Church,/Profile/Martha_2005,Martha_2005,3.0,"I have many fond memories of friends who have celebrated their weddings here, as well as of the many wonderful historical pieces one can see at the museum.",May 2023,,",3 May 2023"
San Agustin Church,/ShowUserReviews-g298573-d310892-r876128466-San_Agustin_Church-Manila_Metro_Manila_Luzon.html,San Augustin Church,/Profile/petermY2777LY,Peter M,5.0,San Augustin Church is in the walled City of Intramuros and is older than the Manila Cathedral. It was completed in 1607 and is the oldest stone church in the Philippines. It is a world heritage site by the UNESCO,Oct 2022,,",23 January 2023"
San Agustin Church,/ShowUserReviews-g298573-d310892-r875269076-San_Agustin_Church-Manila_Metro_Manila_Luzon.html,Beautiful church,/Profile/uzmelissa,uzmelissa,5.0,"The other beautiful church in Manila old town. Don't skip this beautiful church, and must visit at least 5 minutes. It's charming withs it's historical style.",Dec 2022,Family,",16 January 2023"
San Agustin Church,/ShowUserReviews-g298573-d310892-r875226578-San_Agustin_Church-Manila_Metro_Manila_Luzon.html,The only church in Manila to survive WW2,/Profile/jedes,jedes,5.0,The church and accompanying museums on the upper floor are important icons of Filipino history. The columbarium contains the remains of many important historical figures. The Botany exhibits are particularly interesting in their importance in Botany.,Dec 2022,,",15 January 2023"
San Agustin Church,/ShowUserReviews-g298573-d310892-r872568455-San_Agustin_Church-Manila_Metro_Manila_Luzon.html,Beautiful Church,/Profile/The_Traveling_Expat,The_Traveling_Expat,4.0,"The church itself is quite beautiful although somewhat rundown, but this gives it a more authentic feel.  While the church is free to enter, the museum has a modest admission fee that is definitely worth doing.",Dec 2022,,",23 December 2022"
San Agustin Church,/ShowUserReviews-g298573-d310892-r872373158-San_Agustin_Church-Manila_Metro_Manila_Luzon.html,One should visit this historic and very beautiful church if you are in the area.,/Profile/THOMASFROMDAMASCUS,THOMASFROMDAMASCUS,5.0,The San Agustin Church is located within the Old City of Manila just outside the walls of Fort Santiago. ,Dec 2022,,",21 December 2022"
San Agustin Church,/ShowUserReviews-g298573-d310892-r870569923-San_Agustin_Church-Manila_Metro_Manila_Luzon.html,Simpliy Amazing,/Profile/817daven,Ronald N,5.0,This church was amazing to visit .  it is so interesting to see everything they did 501 years ago.   The architecture was amazing .  ,Nov 2022,,",3 December 2022"
San Agustin Church,/ShowUserReviews-g298573-d310892-r859643322-San_Agustin_Church-Manila_Metro_Manila_Luzon.html,One of the best Spanish churches in the country,/Profile/CzarEmmanuel,Czar Emmanuel,4.0,"Closely associated with the Augustinian presence in the Philippines, this church is one of the oldest churches in the country founded in the 16th century. It has an impressive structure, with amazing frescoes on the ceiling, very rich religious refurbishment, beautiful antique statues of saints, etc. Not to miss is the main altar, the pulpit, the choir loft, and the room on the left of the main altar where the tomb containing the mortal remains of Miguel Lopez de Legazpi (founder of the city of Manila in 1571) is found. With all its cultural wealth to offer and rich history, it is not surprising that this church, dedicated to Saint Paul and not really to Saint Augustine, has been declared a UNESCO world heritage site. It's definitely worth-visiting!",Sep 2022,Friends,",11 September 2022"
San Agustin Church,,,,,,,,,
Rizal Park,/ShowUserReviews-g298573-d310891-r912823595-Rizal_Park-Manila_Metro_Manila_Luzon.html,A heroes place.,/Profile/453angryp,ANGRY P,5.0,"A very Historical and educational place to go, A place where you can spent together with your family with and learn about the past.",Jun 2023,Solo,",25 August 2023"
Rizal Park,/ShowUserReviews-g298573-d310891-r911420565-Rizal_Park-Manila_Metro_Manila_Luzon.html,Good,/Profile/AzitiZ,AzitiZ,4.0,"I first visited this place in 2004. First time back since then. It is a lovely place to go to with a lot of things to look at and admire. The statue of national hero Jose Rizal is now since 2013 designated a national treasure and well worth a look. There is a Filipino-Chinese garden that was constructed in 2009 to add to the ambience. It is a spacious park and a world away from the hustle and bustle of Malate, the area that it is more or less situated in. Entry to the park is free. It is safe and feels good. Worth a look if in the area as a tourist. ",Aug 2023,Couples,",19 August 2023"
Rizal Park,/ShowUserReviews-g298573-d310891-r910698049-Rizal_Park-Manila_Metro_Manila_Luzon.html,Awesome and very historical,/Profile/paulsX9055OF,Paul S,4.0,Better to visit early morning or late afternoon when its cooler. An amazing park that is beautiful and enjoyable to walk around. ,Jun 2023,,",16 August 2023"
Rizal Park,/ShowUserReviews-g298573-d310891-r908898327-Rizal_Park-Manila_Metro_Manila_Luzon.html,Near Cruise Port,/Profile/ROCruiser,ROCruiser,4.0,"It was a Saturday when our cruise ship docked here for the day and we were warned that we should not go far away as traffic will be bad in this city. With the hot weather, we did not want to explore too far away and ended up at this park nearby. We spent a couple of hours here and had an amazing time seeing the different parts of this huge park. The memorials, the Chinese Garden, Japanese Garden, all in all a good visit before getting back on the ship.",Mar 2023,,",8 August 2023"
Rizal Park,/ShowUserReviews-g298573-d310891-r908769149-Rizal_Park-Manila_Metro_Manila_Luzon.html,Nicest place,/Profile/rovemaejoyf,Rovemae Joy F,5.0,One of the nicest place that everyone needs to visit with your family specially the kids because it reminds of our hero jose rizal.,Dec 2022,Family,",8 August 2023"
Rizal Park,/ShowUserReviews-g298573-d310891-r901768312-Rizal_Park-Manila_Metro_Manila_Luzon.html,Open and full of history,/Profile/mingfatsai,mingfatsai,5.0,"This large downtown park is named after a famous Filipino doctor, Jose, Rizal, who was important in the Philippines obtaining their independence from the Spanish.  It’s quite large and lush and serves as a great place to further your knowledge of the Philippines, get some exercise or people-watch.  It seemed very safe to me.  It contains the Gomburza Light and Sound complex where plays and other events are performed, as well as the National Planetarium, the Luneta Seafarers Center, a library, the National Museum of Anthropology, and a number of tropical gardens and monuments.  Lots of open areas.",Jun 2023,,",9 July 2023"
Rizal Park,/ShowUserReviews-g298573-d310891-r900644428-Rizal_Park-Manila_Metro_Manila_Luzon.html,The colonial crimes,/Profile/Nabilsupernet,Nabilsupernet,4.0,"Rizal is a national hero who was killed during  Spanish colonialism or his thoughts that promoted people to revolutionise against the Spanish. Rizal park was built to acknowledge the contributions of the national hero against colonialism and reflects its crime against revolutionist. The  centre of the park has a big statue for Rizal, group of statues reflecting the way that Rizal was executed by Spanish and a chain of other statues reflecting different phases of Rizal life.",Jul 2023,Friends,",5 July 2023"
Rizal Park,/ShowUserReviews-g298573-d310891-r891562917-Rizal_Park-Manila_Metro_Manila_Luzon.html,Good,/Profile/Ijusthadxes,Xes,5.0,Good to bond with family and friends. Great place to see history and learn from it. Will go back soon,Dec 2022,Family,",23 May 2023"
Rizal Park,/ShowUserReviews-g298573-d310891-r891110175-Rizal_Park-Manila_Metro_Manila_Luzon.html,Snapshot,/Profile/H7838IOconniep,Connie P,5.0,The Rizal Park itself it was indeed a blast memory when you want to learn the history of our country.,Feb 2023,Solo,",20 May 2023"
Rizal Park,/ShowUserReviews-g298573-d310891-r887085450-Rizal_Park-Manila_Metro_Manila_Luzon.html,Fantastic,/Profile/Khloe_theodora20,Kristine C,5.0,"One of the best places I've been in Manila. Good for walking , jogging and especially for having a Family picnic. The view itself is fascinating and cleanliness are well maintained.",Mar 2023,Family,",21 April 2023"
Rizal Park,,,,,,,,,
Manila Cathedral,/ShowUserReviews-g298573-d310883-r900262067-Manila_Cathedral-Manila_Metro_Manila_Luzon.html,Good pitstop,/Profile/cristoph2010,cristoph2010,4.0,"If you're in the area, do drop by the Manila Cathedral. It's like some other cathedral but it's a good spot to check out. I spent about 15 minutes in there. ",Jun 2023,Solo,",4 July 2023"
Manila Cathedral,/ShowUserReviews-g298573-d310883-r899575998-Manila_Cathedral-Manila_Metro_Manila_Luzon.html,Nice cathedral,/Profile/roaming_kiwi58,roaming_kiwi58,4.0,"There have been a number of cathedrals on this site. This one was rebuilt after World War II, and consecrated in 1958. It is within the old walled city of Manila, in the Intramuros. Architecturally very pleasing to look at.",Mar 2023,,",1 July 2023"
Manila Cathedral,/ShowUserReviews-g298573-d310883-r895520179-Manila_Cathedral-Manila_Metro_Manila_Luzon.html,Nice cathedral,/Profile/alexh11494,Alex H,4.0,Not a must do activity but a very aesthetically pleasing cathedral from both the outside and inside. There are often weddings here too so you may have to plan your trip with flexible time in case there is a wedding on.,Jun 2023,Couples,",17 June 2023"
Manila Cathedral,/ShowUserReviews-g298573-d310883-r894975220-Manila_Cathedral-Manila_Metro_Manila_Luzon.html,A church with a beautiful architecture,/Profile/YuppieLionheart,YuppieLionheart,5.0,"A church with a beautiful architecture. This church is a historical & cultural landmark and usually the choice of couples who likes to have a church wedding. It is the home of the Archbishop of Manila as the Cathedral serves as its episcopal seat. Occasionally, the cardinal presides the Masses here.",Aug 2022,,",14 June 2023"
Manila Cathedral,/ShowUserReviews-g298573-d310883-r881050835-Manila_Cathedral-Manila_Metro_Manila_Luzon.html,The Heart of Intramuros,/Profile/JhanSnow,Jhan Mikho Dizon,5.0,I was there in Manila during Sunday and had a wonderful mass at the Manila Cathedral.,Dec 2022,Business,",5 March 2023"
Manila Cathedral,/ShowUserReviews-g298573-d310883-r877087569-Manila_Cathedral-Manila_Metro_Manila_Luzon.html,Go mid-afternoon,/Profile/Aussie_Binturong,Aussie_Binturong,5.0,I happened to visit between 3 and 3:30pm and at that time the sun was shining through the stain glass and casting the most beautiful colours on the left hand side of the church.,Feb 2023,Solo,",1 February 2023"
Manila Cathedral,/ShowUserReviews-g298573-d310883-r876024055-Manila_Cathedral-Manila_Metro_Manila_Luzon.html,Manila Cathedral,/Profile/petermY2777LY,Peter M,5.0,This is located in the walled city of Intramuros. It is very old having ben founded in 1571. It is very impressive and well worth a visit,Oct 2022,,",23 January 2023"
Manila Cathedral,/ShowUserReviews-g298573-d310883-r875268713-Manila_Cathedral-Manila_Metro_Manila_Luzon.html,Impressive Cathedral ,/Profile/uzmelissa,uzmelissa,5.0,"Loved this Cathedral in Manila, the surrounding and architecture looks like in Rome's. One of the best part in old towns ",Dec 2022,Family,",16 January 2023"
Manila Cathedral,/ShowUserReviews-g298573-d310883-r875179181-Manila_Cathedral-Manila_Metro_Manila_Luzon.html,nice,/Profile/Denis85_9,Denis85_9,4.0,We were on 25th december in manila and participate to the celebrations of christmas...magic!,Dec 2022,,",15 January 2023"
Manila Cathedral,/ShowUserReviews-g298573-d310883-r875155104-Manila_Cathedral-Manila_Metro_Manila_Luzon.html,Beware! Lying bike tour guys around church,/Profile/Tommy19940,Tom1,2.0,There was a wedding going on. Didn’t get to explore much inside. I rated poorly because I want the church to know is the people that work outside of that church cheat and lie to me. Front of a church?? Me and my partner did the bike tour guy around thing. He says is 350 php for both of us. Once we finish our round. Then he told us a different story that is 700php. What a scam. Lying to there teeth front of a church. No thanks. I will never come back to Manila. I will also forward this to my government and the social medias. How embarrassing you guys are!,Jan 2023,Couples,",15 January 2023"
Manila Cathedral,,,,,,,,,
National Museum,/ShowUserReviews-g298573-d310887-r911767337-National_Museum-Manila_Metro_Manila_Luzon.html,Beautiful and full of History!,/Profile/Marites8,Marites8,4.0,"Great place to more about Philippine culture, artists and history. Free admission to view 4 floors of amazing and creative artworks by Filipinos. Would recommend this place and perfect rainy day activity for everyone.",Jun 2023,,",20 August 2023"
National Museum,/ShowUserReviews-g298573-d310887-r906350995-National_Museum-Manila_Metro_Manila_Luzon.html,An intriguing place for sure.   Definitely worth your time to visit.,/Profile/Hudsonmccraw,Hudsonmccraw,4.0,"This museum is filled with artwork that does a good job illustrating the history of the Philippines.    The exhibits are very informative and is worth your time to go see.   Manila traffic is predictably heavy, so make sure you budget time for the commute accordingly.   But you will be pleased with what you see at the National Museum.",Jul 2023,Friends,",28 July 2023"
National Museum,/ShowUserReviews-g298573-d310887-r892405586-National_Museum-Manila_Metro_Manila_Luzon.html,Nice natural history museum,/Profile/CharlesL3086,Charles L,5.0,"Great natural history museum, it was put together very well with a good mix of old and new.",May 2023,,",29 May 2023"
National Museum,/ShowUserReviews-g298573-d310887-r891378100-National_Museum-Manila_Metro_Manila_Luzon.html,Much awaited visit to National Museum,/Profile/SummerDaysPh,SummerDaysPh,5.0,I went to the museum on a Sunday. I took the public transport and got down on TM Kalaw because I wanted to pass by the Rizal monument first before heading to the museums. This is a great first stop. ,May 2023,,",22 May 2023"
National Museum,/ShowUserReviews-g298573-d310887-r880874693-National_Museum-Manila_Metro_Manila_Luzon.html,Worth visiting,/Profile/MikeBirdman,MikeBirdman,4.0,"I learnt a lot about the history of the Philippines and saw the evolution of painting in the country from early days through to contemporary.    A number of specialist exhibits of artists and a wonderful new exhibit about Magellan’s voyages.   The building itself is of historical interest and it was a good introduction to the culture, history.   There is considerable pride expressed about the exhibits and while some of the art is hard to understand in the absence of detailed knowledge it was a great overview of the experiences the country has gone through.",Mar 2023,,",3 March 2023"
National Museum,/ShowUserReviews-g298573-d310887-r875284112-National_Museum-Manila_Metro_Manila_Luzon.html,National Museum,/Profile/petermY2777LY,Peter M,5.0,This is in Ermita and is an excellent Museum.,Aug 2022,,",16 January 2023"
National Museum,/ShowUserReviews-g298573-d310887-r872627676-National_Museum-Manila_Metro_Manila_Luzon.html,Great Museum,/Profile/eakajoy,EkAJoy,5.0,Went here after pandemic and after watching Alone Together movie by LizKen. It was definitely a great experience.,Nov 2022,,",23 December 2022"
National Museum,/ShowUserReviews-g298573-d310887-r872578353-National_Museum-Manila_Metro_Manila_Luzon.html,Great,/Profile/kunal-explorer,Kunal B,4.0,Beautiful place to visit for the first time. Moreover it does not have any entry fee.  Clean and welcoming place.,Nov 2022,,",23 December 2022"
National Museum,/ShowUserReviews-g298573-d310887-r872569200-National_Museum-Manila_Metro_Manila_Luzon.html,Definitely a Must See,/Profile/The_Traveling_Expat,The_Traveling_Expat,4.0,"There are a lot of works on display, and while some of the artworks are more interesting than others, it gives a visitor a good idea of the nature of the Philippines in terms of its cultural, social, religious, and political history.  It is very easy to spend an hour or more here.",Dec 2022,,",23 December 2022"
National Museum,/ShowUserReviews-g298573-d310887-r850339490-National_Museum-Manila_Metro_Manila_Luzon.html,Really Cool Place and Educational,/Profile/Swami_Of_Taste,Sri Babbai Sri ... a,5.0,Fun and Educational. You can start at the top floor and learn all the stuff you forgot from your history of Magellan's  or history should call it Elcano's first circumnavigation around the world. The third floor looks over the old senate chamber with a history mural of the Philippines. The top of the chamber alone is worth going. There are relief statues on every wall. Very interesting. Also the oval stair case if fun to look down from the top floor. One of the low /high points is the room of terror as I call it where paintings of the Horror's of the Spanish atrocities  are so vivid they will haunt you for days. In the same room there are paintings that show the brutality and destruction of wars. Overall a nice afternoon. I learned much from the visit.,May 2022,,",28 July 2022"
National Museum,,,,,,,,,
Museo San Agustin,/ShowUserReviews-g298573-d549326-r903377131-Museo_San_Agustin-Manila_Metro_Manila_Luzon.html,Poor lighting re. Baroque retablo,/Profile/Bigote1048,rosendo ocampo,5.0,"When I posted on diff.chat groups the picture of the Baroque retablo I helped reconstruct from the religious collection of my former boss Luis Ma. Araneta, I have guided privately 2 groups of closed friends (high school and college btachmates from UST) into the San Agustin Museum this couple of months. Aside from those who went there on their own or with their balikbayan relatives and friends. I’m so proud to say that after 50 long years, the retablo is still there intact as how I made it. Got lots of positive comments from friends re. not only about the retablo I did, but the entire religious collection housed in the museum. The only negative one is the lighting on the retablo. They said they cannot get a nice pic of it for lack of lighting. How I wish the museum can improve the lighting on the retablo itself. As of now, there are some other groups who are asking me to accompany them to visit the museum particularly to see the Baroque Retablo I reconstructed from the Araneta religious collection. Thank you very much.",May 2023,Friends,",16 July 2023"
Museo San Agustin,/ShowUserReviews-g298573-d549326-r884458759-Museo_San_Agustin-Manila_Metro_Manila_Luzon.html,question about place,/Profile/seope88,Seope,3.0,is this in manila or some other city?,Apr 2023,,",1 April 2023"
Museo San Agustin,/ShowUserReviews-g298573-d549326-r880868976-Museo_San_Agustin-Manila_Metro_Manila_Luzon.html,History revealed,/Profile/KMcKindnessMatters,Kim,5.0,"We had not realised the breadth of the collection of artefacts and historically significant pieces contained in the museum until we took a guided tour. Our guides were two lovely young ladies who are studying Tourism. Their knowledge and courtesy made the tour very enjoyable. We spent approx 40 mins with them, touring the site and learning the history of the Philippines, specifically related to The Church of San Agustin. We had the good fortune to witness a wedding. I would highly recommend this tour.",Feb 2023,Friends,",3 March 2023"
Museo San Agustin,/ShowUserReviews-g298573-d549326-r878477504-Museo_San_Agustin-Manila_Metro_Manila_Luzon.html,"Fabulous, even better than we’d expected!",/Profile/PartyKrill,PartyKrill,5.0,"The Augustinian monastery that’s been onsite since around the turn of the 17th century (though restored since damage since WWII) is now a museum dedicated to the history of the church & the monks there. There are interesting pieces of art & furniture from the entire history of the building. A standout is the room containing pages of the monk & botanist Manuel Blanco’s book on the flora of the Philippines. You can also access the choir of the church itself, which is stunning, & see the collection of choir books that were produced there in the traditional way up through the 19th century. The story the museum tells is overwhelmingly sympathetic to Spanish colonialism & the spread of Catholicism, but that’s hardly surprising considering the Augustinians are still in charge here, and it’s still a fascinating story.",Feb 2023,Couples,",13 February 2023"
Museo San Agustin,/ShowUserReviews-g298573-d549326-r875226429-Museo_San_Agustin-Manila_Metro_Manila_Luzon.html,A must see in Manila,/Profile/jedes,jedes,5.0,"The Botany museum is particularly outstanding. Few Filipinos realize how important Fr. Manuel Blanco's 'Flora de Filipinas"" was in the understanding of the medicinal value of plants.",Dec 2022,,",15 January 2023"
Museo San Agustin,/ShowUserReviews-g298573-d549326-r872568245-Museo_San_Agustin-Manila_Metro_Manila_Luzon.html,Amazing History,/Profile/The_Traveling_Expat,The_Traveling_Expat,5.0,"This was the first museum I visited in Manila, and I was quite impressed by it.  The exhibits are well thought out and put together.  In addition, the price of admission was very reasonable and cheap for what you can see.  ",Dec 2022,,",23 December 2022"
Museo San Agustin,/ShowUserReviews-g298573-d549326-r863211599-Museo_San_Agustin-Manila_Metro_Manila_Luzon.html,The museum that needs to be renovated,/Profile/junacullador,Jun Acullador,3.0,The artifacts are priceless. The info displayed is very helpful in telling the historical significance of the museum “piece.” The place itself needs to be renovated and upgraded.,May 2022,Friends,",4 October 2022"
Museo San Agustin,/ShowUserReviews-g298573-d549326-r859642474-Museo_San_Agustin-Manila_Metro_Manila_Luzon.html,The best religious museum in the Philippines,/Profile/CzarEmmanuel,Czar Emmanuel,4.0,"Other museums may boast of collections of every sort, but San Agustin Museum has the best in terms of religious items ... from religious articles (statues of Saints, liturgical vestments, books, linens, vessels and other paraphernalia) to objects related to the history of the early Augustinian missions in the Philippines and abroad. Everything is well documented and displayed in a very orderly way.",Sep 2022,Friends,",11 September 2022"
Museo San Agustin,/ShowUserReviews-g298573-d549326-r853471976-Museo_San_Agustin-Manila_Metro_Manila_Luzon.html,What an Extensive Collection,/Profile/trittlel2017,Germaine Trittl... L,5.0,"They charge a rather pricey entrance fee, but worth every peso. This has one of the most extensive historical and religious pieces collections I have ever seen, and you could spend the whole day going around and browsing through whole floors. Although spared from the destruction of WW2, the church was a mute witness to the carnage of the Liberation. This reminder is shown as part of the church's long history, including its ancient retablos, original icons and statuettes of saints, various paintings and sculptures and carvings on wooden furniture used by priests. There is even a collection of vestments and other accessories worn during mass by the priests. These artifacts are so old, there is a touch of ""creepiness"" sometimes. Still, this has been one of the most impressive museums I have visited and wish to visit again.",Sep 2021,,",11 August 2022"
Museo San Agustin,/ShowUserReviews-g298573-d549326-r852891919-Museo_San_Agustin-Manila_Metro_Manila_Luzon.html,"Decent museum, not too crowded",/Profile/Brix510,Brix510,3.0,This place was very nice and not too crowded - located in Intramuros so close to a lot of other things and worth a quick stop,Apr 2022,,",8 August 2022"
Museo San Agustin,,,,,,,,,
